pzpn_id,eyeball_id,home_away,opponent,date_time,true_goals,true_goals_opponent,goals,goals_opponent,possessions,possessions_opponent,shots_in_total,shots_in_total_opponent,fouls,fouls_opponent,offsides,offsides_opponent,free_kicks,free_kicks_opponent,corners,corners_opponent,average_player_game_rating,average_player_game_rating_opponent,shots_on_target,shots_on_target_opponent,shots_off_target,shots_off_target_opponent,shots_blocked,shots_blocked_opponent,shots_inside_pa,shots_inside_pa_opponent,shots_outside_pa,shots_outside_pa_opponent,successful_take_ons,successful_take_ons_opponent,all_take_ons,all_take_ons_opponent,shot_conversion_rate,shot_conversion_rate_opponent,successful_tackles,successful_tackles_opponent,all_tackles,all_tackles_opponent,aerial_duels,aerial_duels_opponent,interceptions,interceptions_opponent,clearances,clearances_opponent,recoveries,recoveries_opponent,blocks,blocks_opponent,mistakes,mistakes_opponent,won_fouls,won_fouls_opponent,second_ball_won,second_ball_won_opponent,successful_passes,successful_passes_opponent,passes,passes_opponent,pass_accuracy,pass_accuracy_opponent,key_passes,key_passes_opponent,successful_passes_in_final_third,successful_passes_in_final_third_opponent,all_passes_in_final_third,all_passes_in_final_third_opponent,successful_passes_in_middle_third,successful_passes_in_middle_third_opponent,all_passes_in_middle_third,all_passes_in_middle_third_opponent,successful_passes_in_defensive_third,successful_passes_in_defensive_third_opponent,all_passes_in_defensive_third,all_passes_in_defensive_third_opponent,successful_long_passes,successful_long_passes_opponent,all_long_passes,all_long_passes_opponent,successful_medium_range_passes,successful_medium_range_passes_opponent,all_medium_range_passes,all_medium_range_passes_opponent,successful_short_passes,successful_short_passes_opponent,all_short_passes,all_short_passes_opponent,successful_forward_passes,successful_forward_passes_opponent,all_forward_passes,all_forward_passes_opponent,successful_sideways_passes,successful_sideways_passes_opponent,all_sideways_passes,all_sideways_passes_opponent,successful_backward_passes,successful_backward_passes_opponent,all_backward_passes,all_backward_passes_opponent,successful_crosses,successful_crosses_opponent,all_crosses,all_crosses_opponent,field_tilt,field_tilt_opponent,all_goals_recognized
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,2,2,2,2,55%,45%,32,8,11,6,1,0,5,11,8,2,7.14,6.01,11,4,16,2,5,2,22,1,10,7,27,5,41,13,6%,25%,25,30,40,46,30,30,37,37,16,38,98,56,6,22,10,8,6,11,78%,22%,391,289,493,380,79%,76%,24,5,133,16,195,30,186,85,207,115,72,188,91,235,42,13,65,47,154,111,187,139,195,165,241,193,131,69,187,135,182,145,222,164,78,75,84,80,13,2,47,11,87%,13%,True
6a8839cc-64e4-41b8-aba8-353c5056468b,59476,away,AKS SMS GROT ŁÓDŹ,2025-08-16T12:00:00,1,1,1,1,52%,48%,15,17,13,10,0,2,12,13,7,11,5.93,6.5,3,3,4,7,8,7,9,10,6,7,15,7,15,10,0%,0%,15,11,22,26,17,17,18,9,47,34,104,108,7,9,0,0,10,13,43%,57%,238,208,346,328,69%,63%,13,10,43,55,72,112,95,80,125,106,100,73,148,109,31,32,76,79,106,98,136,138,101,78,133,110,103,96,174,164,94,66,125,108,41,46,46,55,7,6,21,32,39%,61%,True
32823e33-3524-432c-918e-47bd339439e8,59970,home,INDUSTRIA KORONA SA Kielce,2025-08-24T12:00:00,3,0,3,0,48%,52%,26,16,19,15,2,0,14,20,5,5,7.51,7.57,9,5,11,5,6,6,19,6,7,10,28,14,35,22,12%,0%,32,29,59,54,20,20,26,19,31,20,93,91,27,17,16,9,15,19,29%,71%,297,359,386,472,77%,76%,19,12,55,87,85,126,118,130,144,171,124,142,157,175,33,23,60,47,124,166,157,203,140,170,169,222,111,113,176,185,117,155,139,185,69,91,71,102,6,3,18,19,40%,60%,True
b9c47d4a-9ab2-4db6-afbf-919848c612ce,65772,away,Legia Warszawa S.A.,2025-08-30T12:00:00,2,1,2,1,39%,61%,14,23,12,14,1,0,14,12,6,7,6.8,6.91,3,9,7,6,4,8,8,17,6,6,17,13,35,31,14%,4%,20,25,23,27,19,19,25,29,38,30,81,89,14,18,8,6,14,12,47%,53%,191,427,295,532,65%,80%,6,18,38,85,69,119,60,204,92,249,93,138,134,164,19,36,61,71,83,221,114,260,89,170,120,201,74,138,146,216,79,179,106,201,38,110,43,115,2,8,19,23,37%,63%,True
e20157b6-e2ab-4f31-ac49-77644d1b45bf,66015,home,Widzew Łódź SA,2025-09-06T17:30:00,0,0,0,0,54%,46%,21,19,10,18,1,0,18,10,6,6,6.95,7.49,6,3,8,7,7,9,12,15,9,4,20,8,29,13,0%,0%,9,7,17,27,11,11,53,50,70,75,109,91,11,6,0,0,17,8,55%,45%,254,194,353,301,72%,64%,16,13,80,37,124,75,88,65,113,96,84,90,111,128,30,41,66,88,97,72,119,102,125,79,163,109,110,92,170,160,106,72,134,106,36,28,44,33,7,6,19,15,62%,38%,True
0adaf90f-44b8-4a60-a108-468596f1828a,67278,away,Stal Rzeszów S.A.,2025-09-13T13:30:00,1,2,1,2,50%,50%,17,17,21,16,1,2,17,21,5,2,5.63,6.75,2,6,10,8,5,3,13,9,4,8,21,9,32,13,6%,12%,18,28,29,45,24,24,12,21,19,18,111,103,14,16,12,8,16,21,60%,40%,268,256,380,372,71%,69%,12,12,74,39,113,76,116,97,154,138,78,120,113,158,33,27,63,58,106,105,150,149,129,123,167,164,108,105,186,176,103,108,132,142,57,42,62,53,5,2,21,15,60%,40%,True
541cea7a-ffcb-434f-be21-d73f76afc1e0,67624,home,UKS Talent Warszawa,2025-09-20T17:30:00,5,1,5,1,53%,47%,11,12,19,11,2,5,16,20,5,4,6.88,5.81,8,5,2,4,1,3,9,8,2,4,7,13,11,24,45%,8%,11,10,15,12,16,16,13,13,41,41,85,82,20,13,30,24,11,19,50%,50%,258,218,353,317,73%,69%,8,9,57,53,100,96,94,103,127,139,107,62,126,82,24,32,58,60,85,106,109,130,148,80,185,127,93,83,152,148,119,92,147,117,45,43,53,52,6,7,20,26,51%,49%,True
0372e0b3-3974-4f34-a6a8-f17a492e04b2,68466,away,Jagiellonia Białystok SSA,2025-09-26T19:30:00,4,5,4,5,49%,51%,16,26,14,21,3,2,18,15,1,7,6.19,7.15,9,15,4,6,3,5,8,14,8,12,21,26,22,33,25%,19%,33,25,55,41,46,46,50,46,33,18,88,93,14,10,9,7,21,14,54%,46%,216,260,333,376,65%,69%,7,15,40,80,79,116,79,107,114,153,97,73,140,107,22,17,68,46,86,100,115,133,108,143,150,197,72,110,153,190,103,100,134,132,41,50,46,54,2,7,14,24,41%,59%,True
c76f59f1-035f-4041-82e7-588d8ccff2b6,69316,away,ŁKS Łódź S.A.,2025-10-03T11:30:00,1,4,1,4,55%,45%,29,14,8,22,3,3,23,11,11,6,5.95,6.75,11,6,9,6,9,2,22,12,7,2,7,4,16,12,3%,29%,14,31,26,46,12,12,13,24,22,32,113,96,18,22,8,13,22,8,80%,20%,292,182,406,292,72%,62%,18,6,87,33,135,62,106,61,146,102,99,88,125,128,43,19,74,57,112,68,150,104,137,95,182,131,113,79,174,161,116,75,153,98,63,28,79,33,10,1,24,15,69%,31%,True
85a4ba19-e084-4192-974b-c66c76a906bc,72037,home,Escola Varsovia,2025-10-25T17:30:00,2,0,2,0,48%,52%,20,5,12,23,0,1,20,11,4,3,6.68,7.33,7,1,8,2,5,2,10,3,10,2,7,1,21,10,10%,0%,19,27,28,37,19,19,16,12,21,35,109,104,11,19,14,14,23,12,35%,65%,277,319,401,448,69%,71%,9,4,52,46,103,78,131,145,172,200,94,128,126,170,30,17,68,51,109,140,140,183,138,162,193,213,95,114,184,194,109,136,137,178,73,69,80,75,2,3,10,16,57%,43%,True
