pzpn_id,eyeball_id,home_away,opponent,date_time,true_goals,true_goals_opponent,goals,goals_opponent,possessions,possessions_opponent,shots_in_total,shots_in_total_opponent,fouls,fouls_opponent,offsides,offsides_opponent,free_kicks,free_kicks_opponent,corners,corners_opponent,average_player_game_rating,average_player_game_rating_opponent,shots_on_target,shots_on_target_opponent,shots_off_target,shots_off_target_opponent,shots_blocked,shots_blocked_opponent,shots_inside_pa,shots_inside_pa_opponent,shots_outside_pa,shots_outside_pa_opponent,successful_take_ons,successful_take_ons_opponent,all_take_ons,all_take_ons_opponent,shot_conversion_rate,shot_conversion_rate_opponent,successful_tackles,successful_tackles_opponent,all_tackles,all_tackles_opponent,aerial_duels,aerial_duels_opponent,interceptions,interceptions_opponent,clearances,clearances_opponent,recoveries,recoveries_opponent,blocks,blocks_opponent,mistakes,mistakes_opponent,won_fouls,won_fouls_opponent,second_ball_won,second_ball_won_opponent,successful_passes,successful_passes_opponent,passes,passes_opponent,pass_accuracy,pass_accuracy_opponent,key_passes,key_passes_opponent,successful_passes_in_final_third,successful_passes_in_final_third_opponent,all_passes_in_final_third,all_passes_in_final_third_opponent,successful_passes_in_middle_third,successful_passes_in_middle_third_opponent,all_passes_in_middle_third,all_passes_in_middle_third_opponent,successful_passes_in_defensive_third,successful_passes_in_defensive_third_opponent,all_passes_in_defensive_third,all_passes_in_defensive_third_opponent,successful_long_passes,successful_long_passes_opponent,all_long_passes,all_long_passes_opponent,successful_medium_range_passes,successful_medium_range_passes_opponent,all_medium_range_passes,all_medium_range_passes_opponent,successful_short_passes,successful_short_passes_opponent,all_short_passes,all_short_passes_opponent,successful_forward_passes,successful_forward_passes_opponent,all_forward_passes,all_forward_passes_opponent,successful_sideways_passes,successful_sideways_passes_opponent,all_sideways_passes,all_sideways_passes_opponent,successful_backward_passes,successful_backward_passes_opponent,all_backward_passes,all_backward_passes_opponent,successful_crosses,successful_crosses_opponent,all_crosses,all_crosses_opponent,field_tilt,field_tilt_opponent,all_goals_recognized
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,1,0,1,0,49%,51%,16,4,5,2,1,0,1,5,7,2,7.14,6.01,6,1,6,2,4,1,11,0,5,4,15,3,22,4,6%,0%,9,17,17,25,10,10,23,17,6,7,43,28,2,10,6,5,2,5,70%,30%,175,187,223,240,78%,78%,10,3,57,14,80,22,78,47,88,64,40,126,55,154,15,9,28,25,59,71,75,89,101,107,120,125,58,39,85,77,75,96,93,107,42,52,45,55,2,1,12,4,78%,22%,True
6a8839cc-64e4-41b8-aba8-353c5056468b,59476,away,AKS SMS GROT ŁÓDŹ,2025-08-16T12:00:00,0,0,0,0,55%,45%,10,5,7,5,0,1,6,7,4,3,5.93,6.5,2,2,3,2,5,1,5,3,5,2,6,4,6,4,0%,0%,9,5,13,11,2,2,2,4,13,16,49,50,1,6,0,0,5,7,0%,100%,162,117,212,169,76%,69%,9,4,28,23,47,42,70,47,81,61,64,47,84,66,20,14,37,34,75,57,91,74,67,46,84,61,63,50,92,80,68,38,86,53,31,29,34,36,4,0,12,7,53%,47%,True
32823e33-3524-432c-918e-47bd339439e8,59970,home,INDUSTRIA KORONA SA Kielce,2025-08-24T12:00:00,2,0,2,0,52%,48%,14,4,11,7,1,0,7,12,4,2,7.51,7.57,4,1,6,1,4,2,10,1,4,3,14,7,17,12,14%,0%,16,12,30,28,10,10,14,14,6,10,42,37,10,8,11,3,7,11,33%,67%,153,146,196,195,78%,75%,10,4,37,29,56,38,59,44,72,59,57,73,68,98,21,9,30,22,65,69,81,86,67,68,85,87,55,41,83,70,60,69,73,85,38,36,40,40,5,0,13,3,60%,40%,True
b9c47d4a-9ab2-4db6-afbf-919848c612ce,65772,away,Legia Warszawa S.A.,2025-08-30T12:00:00,1,0,1,0,38%,62%,3,11,4,6,0,0,6,4,1,3,6.8,6.91,1,6,1,3,1,2,2,7,1,4,8,5,15,11,33%,0%,7,13,7,13,6,6,9,11,15,13,41,50,6,9,4,5,6,4,50%,50%,105,216,165,271,64%,80%,1,10,13,33,27,48,34,105,54,127,58,78,84,96,12,20,35,45,44,113,66,129,49,83,64,97,38,66,82,109,51,97,64,108,16,53,19,54,0,4,7,9,36%,64%,True
e20157b6-e2ab-4f31-ac49-77644d1b45bf,66015,home,Widzew Łódź SA,2025-09-06T17:30:00,0,0,0,0,55%,45%,9,14,2,5,1,0,5,3,1,5,6.95,7.49,2,2,4,6,3,6,4,10,5,4,12,4,17,7,0%,0%,4,3,8,15,3,3,23,25,31,37,50,46,6,3,0,0,5,1,33%,67%,148,102,195,152,76%,67%,7,9,44,17,66,33,44,31,59,43,59,54,69,76,14,20,30,42,66,41,77,57,67,41,87,53,60,50,89,81,63,36,79,53,24,16,26,18,2,4,8,10,67%,33%,True
0adaf90f-44b8-4a60-a108-468596f1828a,67278,away,Stal Rzeszów S.A.,2025-09-13T13:30:00,1,0,1,0,52%,48%,11,9,8,4,0,1,5,8,3,0,5.63,6.75,2,2,6,6,3,1,9,5,2,4,12,3,17,6,9%,0%,10,11,20,23,19,19,2,12,5,10,56,51,9,10,8,6,4,8,60%,40%,168,143,223,195,75%,73%,7,7,41,20,55,33,76,52,96,78,51,71,72,84,23,11,35,25,70,61,90,78,75,71,98,92,68,53,107,87,65,64,77,77,35,26,39,31,4,1,8,4,63%,38%,True
541cea7a-ffcb-434f-be21-d73f76afc1e0,67624,home,UKS Talent Warszawa,2025-09-20T17:30:00,3,0,3,0,59%,41%,4,2,7,9,2,1,10,9,1,1,6.88,5.81,3,0,1,1,0,1,3,1,1,1,4,3,6,8,75%,0%,5,8,9,10,11,11,9,6,17,21,48,42,5,6,14,11,9,7,60%,40%,171,89,223,139,77%,64%,1,1,40,19,66,36,64,38,80,55,67,32,77,48,14,11,33,27,56,51,72,63,100,27,117,49,62,29,91,63,78,41,96,53,30,19,35,23,2,1,10,7,65%,35%,True
0372e0b3-3974-4f34-a6a8-f17a492e04b2,68466,away,Jagiellonia Białystok SSA,2025-09-26T19:30:00,3,3,3,3,50%,50%,7,14,7,10,2,1,7,7,0,4,6.19,7.15,5,9,1,2,1,3,2,8,5,6,13,10,14,14,43%,21%,19,15,32,23,22,22,21,27,13,12,53,53,9,7,5,5,10,7,41%,59%,125,127,196,190,64%,67%,3,8,24,43,54,60,47,43,67,65,54,41,75,65,15,10,37,23,47,43,67,61,63,74,92,106,38,52,86,97,61,51,81,67,26,24,29,26,1,4,8,9,47%,53%,True
c76f59f1-035f-4041-82e7-588d8ccff2b6,69316,away,ŁKS Łódź S.A.,2025-10-03T11:30:00,0,1,0,1,52%,48%,15,7,2,10,0,1,11,2,5,4,5.95,6.75,6,1,6,4,3,2,12,5,3,2,2,2,4,5,0%,14%,8,14,18,27,5,5,2,8,12,8,61,52,8,8,3,8,10,2,75%,25%,124,106,177,165,70%,64%,11,4,24,23,46,40,44,32,62,54,56,51,69,71,19,10,32,29,50,42,68,61,55,54,77,75,54,42,80,81,49,47,68,64,21,17,29,20,2,1,10,9,53%,47%,True
85a4ba19-e084-4192-974b-c66c76a906bc,72037,home,Escola Varsovia,2025-10-25T17:30:00,1,0,1,0,45%,55%,10,2,5,12,0,0,9,4,2,1,6.68,7.33,4,0,5,1,1,1,4,0,6,2,2,0,8,6,10%,0%,6,12,10,13,9,9,6,5,10,19,53,49,5,7,2,1,12,5,22%,78%,126,172,190,238,66%,72%,3,1,22,15,49,30,58,73,79,103,46,84,62,105,14,12,32,27,56,78,73,102,56,82,85,108,43,58,86,97,47,69,63,91,36,45,41,49,1,2,5,8,62%,38%,True
31e70a76-494b-44ac-95a9-f5d9969e06b1,72759,away,Wisła Kraków ,2025-10-31T11:00:00,0,1,0,1,39%,61%,8,8,6,5,2,1,6,6,4,2,7.33,6.62,1,4,4,3,3,1,3,3,5,5,1,0,12,2,0%,13%,15,4,23,12,14,14,9,7,12,11,48,35,11,6,1,2,5,6,57%,43%,89,218,134,263,66%,83%,4,7,15,51,28,64,34,100,52,118,40,67,54,81,10,17,18,35,31,96,54,105,48,105,62,123,31,56,64,88,35,106,45,116,23,56,25,59,0,1,5,4,30%,70%,True
e499ca04-55c2-4530-85d0-8a7bb3455c4d,73684,home,SMS Resovia Rzeszów,2025-11-08T17:30:00,1,1,1,1,65%,35%,11,3,7,5,1,3,6,8,5,1,6.79,5.61,2,2,7,0,2,1,8,2,3,1,8,2,18,3,9%,33%,4,18,6,28,28,28,30,35,10,25,52,24,9,8,3,2,5,7,67%,33%,226,65,291,130,78%,50%,8,3,55,13,81,26,133,33,161,58,38,19,49,46,21,10,37,37,125,30,155,50,80,25,99,43,76,31,121,86,99,18,115,26,51,16,55,18,2,1,17,6,76%,24%,True
a1d2b85d-a65f-40b0-a146-f8fc231e16d1,74469,away,Hutnik Kraków,2025-11-15T12:30:00,1,1,1,1,54%,46%,4,8,4,5,2,0,5,6,5,6,6.6,6.68,3,5,0,2,1,1,2,5,2,3,2,3,4,5,25%,13%,4,8,7,10,19,19,33,26,26,26,31,29,1,1,0,0,3,4,63%,37%,188,156,238,201,79%,78%,2,6,26,42,39,59,99,68,117,80,63,46,82,62,16,13,46,33,93,68,102,83,79,75,90,85,58,50,102,77,74,72,78,87,56,34,58,37,4,3,7,9,40%,60%,True
eda93f45-978a-43e3-8956-cc9963b39351,75233,away,Stomil Olsztyn SA,2025-11-21T14:30:00,0,0,0,0,60%,40%,9,5,7,4,0,0,4,7,0,0,7.85,7.04,4,1,3,3,2,1,4,4,5,1,7,15,11,19,0%,0%,14,6,22,13,26,26,10,10,11,12,54,40,10,8,3,3,4,7,60%,40%,200,103,260,165,77%,62%,6,4,36,20,57,37,99,33,124,56,65,50,79,72,32,17,49,39,88,42,99,59,80,44,112,67,58,39,100,84,89,43,98,54,53,21,62,27,2,0,4,7,61%,39%,True
a3abd411-97af-4a3a-801a-bf3eecd6846d,76096,home,AKS SMS GROT ŁÓDŹ,2025-11-29T17:30:00,3,0,3,0,56%,44%,9,3,7,5,0,1,5,7,3,2,7.03,6.79,6,0,2,2,1,1,7,2,2,1,5,4,11,8,33%,0%,16,10,29,26,28,28,8,17,7,14,59,42,2,6,3,5,5,7,59%,41%,207,140,263,185,79%,76%,6,3,41,5,63,13,102,71,122,84,64,64,78,88,23,9,44,27,68,72,86,84,116,59,133,74,58,44,99,79,87,62,100,70,62,34,64,36,3,1,15,6,83%,17%,True
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,0,2,0,2,45%,55%,5,7,9,5,0,1,5,8,3,6,6.48,7.11,3,5,0,1,2,1,4,5,1,2,7,10,15,16,0%,29%,12,11,15,14,12,12,8,8,18,14,27,43,5,6,4,7,5,9,33%,67%,103,127,141,172,73%,74%,3,4,21,29,37,52,39,49,53,59,43,49,51,61,12,17,16,31,39,59,56,71,52,51,69,70,39,42,64,66,48,55,59,74,16,30,18,32,1,3,5,13,42%,58%,True
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,0,0,0,0,40%,60%,4,8,3,8,2,1,9,5,0,5,6.76,7.06,0,2,3,5,1,1,3,3,1,5,2,2,6,14,0%,0%,14,17,25,21,29,29,9,2,13,7,65,88,5,8,2,3,8,3,64%,36%,121,234,197,322,61%,73%,3,6,18,100,29,144,35,90,60,110,68,44,108,68,11,14,30,42,39,92,64,125,71,128,103,155,49,88,105,139,53,88,68,114,19,58,24,69,1,2,4,25,17%,83%,True
07b9e725-1c67-4b08-8415-75317a6ebbd8,86317,away,Widzew Łódź SA,2026-03-14T12:30:00,0,2,0,2,53%,47%,7,6,6,2,0,2,4,6,3,4,7.17,6.87,2,5,5,1,0,0,5,5,2,1,3,3,6,10,0%,33%,22,22,31,34,35,35,16,18,19,23,55,48,3,7,2,5,2,6,63%,37%,143,116,205,171,70%,68%,6,4,26,16,49,26,50,39,77,55,67,61,79,90,20,21,39,45,68,51,89,71,55,44,77,55,49,37,91,80,61,48,79,57,33,31,35,34,5,4,15,12,65%,35%,True
f5da7a93-e661-415b-a237-d1c924e09b74,88406,home,Stal Rzeszów S.A.,2026-03-21T12:00:00,1,0,1,0,51%,49%,17,6,9,1,0,1,2,9,6,0,7.01,7.05,1,2,6,2,10,2,11,4,6,2,1,4,4,5,6%,0%,5,8,9,9,13,13,53,45,43,51,57,36,3,9,0,0,1,9,50%,50%,151,154,208,214,73%,72%,9,5,42,11,78,24,56,52,66,62,53,91,64,128,38,33,61,59,43,44,62,61,70,77,85,94,84,88,108,132,42,46,70,58,25,20,30,24,9,1,22,3,76%,24%,True
cb488fbe-4d7e-4e15-a177-da07e181a78e,89508,away,UKS Talent Warszawa,2026-03-28T12:00:00,0,1,0,1,54%,46%,6,3,6,13,0,0,13,6,2,0,5.69,6.33,3,1,0,2,3,0,4,3,2,0,3,3,3,7,0%,33%,19,15,31,33,27,27,17,17,15,22,69,72,3,10,3,4,13,6,60%,40%,118,71,201,149,59%,48%,4,3,24,12,52,31,63,23,98,59,31,36,51,59,17,8,47,28,33,32,57,58,68,31,96,63,49,36,104,96,39,29,61,43,30,6,35,10,1,1,11,8,63%,37%,True
661a81ec-54b4-4ed0-b8f1-d4313401d6a8,91829,home,Jagiellonia Białystok SSA,2026-04-11T12:00:00,4,0,4,0,52%,48%,13,7,10,4,0,0,4,10,5,2,7.1,7.18,7,2,3,2,3,3,9,3,4,4,21,9,23,14,31%,0%,10,4,15,15,11,11,12,7,10,16,49,46,12,15,1,2,4,10,56%,44%,145,131,212,193,68%,68%,10,4,40,18,68,39,58,53,76,73,47,60,68,81,14,9,36,25,49,59,68,81,82,63,108,87,53,49,98,91,56,54,74,67,36,28,40,35,2,1,13,8,64%,36%,True
6924cf38-9f99-4908-9d67-fbe8e933ebb5,92939,home,ŁKS Łódź S.A.,2026-04-18T15:00:00,4,0,4,0,51%,49%,20,7,4,8,0,0,6,3,7,2,7.17,7.05,8,0,5,5,7,2,13,1,7,6,10,5,15,13,20%,0%,11,9,12,11,12,12,12,20,12,25,57,49,4,9,5,8,8,4,70%,30%,129,114,184,167,70%,68%,10,4,33,20,52,38,41,55,58,72,55,39,74,57,16,13,36,32,52,43,66,62,60,58,81,73,51,38,84,73,47,51,68,65,30,25,31,29,2,0,10,4,58%,42%,True
e19a2e58-5273-489c-a103-403c633f32d9,94523,home,Podlasie Biała Podlaska.,2026-04-25T12:00:00,1,0,1,0,59%,41%,13,3,5,8,1,2,9,6,2,1,6.82,6.47,4,1,5,2,4,0,10,3,3,0,6,0,14,2,8%,0%,0,5,0,9,4,4,1,19,1,8,56,33,2,8,4,3,8,5,75%,25%,220,107,277,171,79%,63%,9,2,61,6,84,11,97,33,117,59,62,68,76,101,21,12,40,34,96,57,117,73,103,38,120,64,83,35,119,90,76,46,93,54,61,26,65,27,3,2,4,2,88%,12%,True
0c0ef445-d8a3-4afc-a841-45f5101cda11,95078,away,S.S.M. Wisła Płock,2026-04-30T16:00:00,0,0,0,0,52%,48%,4,2,9,10,2,1,11,11,0,1,6.06,6.71,2,2,1,0,1,0,2,2,2,0,6,1,9,1,0%,0%,9,10,9,12,12,12,10,8,11,11,49,41,13,6,5,2,10,9,44%,56%,155,147,214,217,72%,68%,3,2,23,9,49,18,100,47,128,66,32,91,37,133,14,16,36,40,76,72,94,102,64,59,83,75,56,40,98,98,67,67,84,76,31,40,31,43,1,1,5,6,73%,27%,True
b6def53a-9d35-4e37-8844-d51b85ca3489,96181,away,Escola Varsovia,2026-05-09T14:45:00,1,0,1,0,41%,59%,6,5,9,7,0,1,8,9,1,3,6.44,6.91,2,1,3,1,1,3,3,2,3,3,2,1,5,7,17%,0%,9,19,19,22,20,20,10,11,19,16,52,56,7,10,3,4,7,9,39%,61%,104,195,162,260,64%,75%,4,3,17,47,34,67,46,72,79,92,41,76,49,101,6,23,19,45,52,101,74,121,46,71,69,94,48,66,87,110,39,71,54,84,17,58,21,66,4,3,11,11,34%,66%,True
1b2e2dcf-4db4-455b-834c-78df8561f4c2,97112,home,Wisła Kraków ,2026-05-16T12:00:00,3,0,3,0,45%,55%,15,3,9,2,3,1,3,11,4,0,7.11,7.96,7,1,5,2,3,0,8,1,7,2,3,4,6,14,20%,0%,17,11,47,31,28,28,14,8,12,20,54,32,0,6,2,1,2,9,67%,33%,108,181,163,226,66%,80%,11,2,26,26,47,37,39,89,62,102,43,66,54,87,14,13,28,27,55,88,79,100,39,80,56,99,41,53,73,82,35,84,53,97,32,44,37,47,6,3,21,7,56%,44%,True
