Category;Statistic;"MKS POLONIA WARSZAWA";"STOMIL OLSZTYN SA"
Summary;Goals;1;0
Summary;Possessions;49%;51%
Summary;"Shots in total";16;4
Summary;Fouls;5;2
Summary;Offsides;1;0
Summary;"Free kicks";1;5
Summary;Corners;7;2
Summary;"Average player game rating";7.14;6.01
Offensive;"Shots in total";16;4
Offensive;"Shots on target";6;1
Offensive;"Shots off target";6;2
Offensive;"Shots blocked";4;1
Offensive;"Shots inside PA";11;0
Offensive;"Shots outside PA";5;4
Offensive;"Successful take ons";15;3
Offensive;"All take ons";22;4
Offensive;"Shot Conversion Rate";6%;0%
Defensive;"Successful tackles";9;17
Defensive;"All tackles";17;25
Defensive;"Aerial duels";10;10
Defensive;Interceptions;23;17
Defensive;Clearances;6;7
Defensive;Recoveries;43;28
Defensive;Blocks;2;10
Defensive;Mistakes;6;5
Defensive;"Won fouls";2;5
Defensive;"Second Ball Won";70%;30%
Distribution;"Successful passes";175;187
Distribution;Passes;223;240
Distribution;"Pass accuracy";78%;78%
Distribution;"Key passes";10;3
Distribution;"Successful passes in final third";57;14
Distribution;"All passes in final third";80;22
Distribution;"Successful passes in middle third";78;47
Distribution;"All passes in middle third";88;64
Distribution;"Successful passes in defensive third";40;126
Distribution;"All passes in defensive third";55;154
Distribution;"Successful long passes";15;9
Distribution;"All long passes";28;25
Distribution;"Successful medium range passes";59;71
Distribution;"All medium range passes";75;89
Distribution;"Successful short passes";101;107
Distribution;"All short passes";120;125
Distribution;"Successful forward passes";58;39
Distribution;"All forward passes";85;77
Distribution;"Successful sideways passes";75;96
Distribution;"All sideways passes";93;107
Distribution;"Successful backward passes";42;52
Distribution;"All backward passes";45;55
Distribution;"Successful crosses";2;1
Distribution;"All crosses";12;4
Distribution;"Field Tilt";78%;22%
