Category;Statistic;"LEGIA WARSAW";"POLONIA WARSZAWA"
Summary;Goals;1;2
Summary;Possessions;61%;39%
Summary;"Shots in total";23;14
Summary;Fouls;14;12
Summary;Offsides;0;1
Summary;"Free kicks";12;14
Summary;Corners;7;6
Summary;"Average player game rating";6.91;6.8
Offensive;"Shots in total";23;14
Offensive;"Shots on target";9;3
Offensive;"Shots off target";6;7
Offensive;"Shots blocked";8;4
Offensive;"Shots inside PA";17;8
Offensive;"Shots outside PA";6;6
Offensive;"Successful take ons";13;17
Offensive;"All take ons";31;35
Offensive;"Shot Conversion Rate";4%;14%
Defensive;"Successful tackles";25;20
Defensive;"All tackles";27;23
Defensive;"Aerial duels";19;19
Defensive;Interceptions;29;25
Defensive;Clearances;30;38
Defensive;Recoveries;89;81
Defensive;Blocks;18;14
Defensive;Mistakes;6;8
Defensive;"Won fouls";12;14
Defensive;"Second Ball Won";53%;47%
Distribution;"Successful passes";427;191
Distribution;Passes;532;295
Distribution;"Pass accuracy";80%;65%
Distribution;"Key passes";18;6
Distribution;"Successful passes in final third";85;38
Distribution;"All passes in final third";119;69
Distribution;"Successful passes in middle third";204;60
Distribution;"All passes in middle third";249;92
Distribution;"Successful passes in defensive third";138;93
Distribution;"All passes in defensive third";164;134
Distribution;"Successful long passes";36;19
Distribution;"All long passes";71;61
Distribution;"Successful medium range passes";221;83
Distribution;"All medium range passes";260;114
Distribution;"Successful short passes";170;89
Distribution;"All short passes";201;120
Distribution;"Successful forward passes";138;74
Distribution;"All forward passes";216;146
Distribution;"Successful sideways passes";179;79
Distribution;"All sideways passes";201;106
Distribution;"Successful backward passes";110;38
Distribution;"All backward passes";115;43
Distribution;"Successful crosses";8;2
Distribution;"All crosses";23;19
Distribution;"Field Tilt";63%;37%
