Category;Statistic;"POLONIA WARSZAWA";"WIDZEW LODZ"
Summary;Goals;0;0
Summary;Possessions;53%;47%
Summary;"Shots in total";12;5
Summary;Fouls;8;13
Summary;Offsides;0;0
Summary;"Free kicks";13;7
Summary;Corners;5;1
Summary;"Average player game rating";6.95;7.49
Offensive;"Shots in total";12;5
Offensive;"Shots on target";4;1
Offensive;"Shots off target";4;1
Offensive;"Shots blocked";4;3
Offensive;"Shots inside PA";8;5
Offensive;"Shots outside PA";4;0
Offensive;"Successful take ons";8;4
Offensive;"All take ons";12;6
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";5;4
Defensive;"All tackles";9;12
Defensive;"Aerial duels";8;8
Defensive;Interceptions;30;25
Defensive;Clearances;39;38
Defensive;Recoveries;59;45
Defensive;Blocks;5;3
Defensive;Mistakes;0;0
Defensive;"Won fouls";12;7
Defensive;"Second Ball Won";63%;38%
Distribution;"Successful passes";106;92
Distribution;Passes;158;149
Distribution;"Pass accuracy";67%;62%
Distribution;"Key passes";9;4
Distribution;"Successful passes in final third";36;20
Distribution;"All passes in final third";58;42
Distribution;"Successful passes in middle third";44;34
Distribution;"All passes in middle third";54;53
Distribution;"Successful passes in defensive third";25;36
Distribution;"All passes in defensive third";42;52
Distribution;"Successful long passes";16;21
Distribution;"All long passes";36;46
Distribution;"Successful medium range passes";31;31
Distribution;"All medium range passes";42;45
Distribution;"Successful short passes";58;38
Distribution;"All short passes";76;56
Distribution;"Successful forward passes";50;42
Distribution;"All forward passes";81;79
Distribution;"Successful sideways passes";43;36
Distribution;"All sideways passes";55;53
Distribution;"Successful backward passes";12;12
Distribution;"All backward passes";18;15
Distribution;"Successful crosses";5;2
Distribution;"All crosses";11;5
Distribution;"Field Tilt";58%;42%
