Category;Statistic;"POLONIA WARSZAWA";"RESOVIA RZESOW"
Summary;Goals;0;0
Summary;Possessions;59%;41%
Summary;"Shots in total";8;4
Summary;Fouls;9;5
Summary;Offsides;0;1
Summary;"Free kicks";6;9
Summary;Corners;8;3
Summary;"Average player game rating";6.79;5.61
Offensive;"Shots in total";8;4
Offensive;"Shots on target";2;1
Offensive;"Shots off target";4;3
Offensive;"Shots blocked";2;0
Offensive;"Shots inside PA";5;2
Offensive;"Shots outside PA";3;2
Offensive;"Successful take ons";5;3
Offensive;"All take ons";15;8
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";9;16
Defensive;"All tackles";13;23
Defensive;"Aerial duels";40;40
Defensive;Interceptions;26;35
Defensive;Clearances;13;24
Defensive;Recoveries;52;34
Defensive;Blocks;8;9
Defensive;Mistakes;9;4
Defensive;"Won fouls";5;9
Defensive;"Second Ball Won";51%;49%
Distribution;"Successful passes";152;54
Distribution;Passes;218;123
Distribution;"Pass accuracy";70%;44%
Distribution;"Key passes";5;4
Distribution;"Successful passes in final third";32;13
Distribution;"All passes in final third";66;30
Distribution;"Successful passes in middle third";82;16
Distribution;"All passes in middle third";100;44
Distribution;"Successful passes in defensive third";38;25
Distribution;"All passes in defensive third";52;49
Distribution;"Successful long passes";19;6
Distribution;"All long passes";41;31
Distribution;"Successful medium range passes";77;30
Distribution;"All medium range passes";98;50
Distribution;"Successful short passes";56;18
Distribution;"All short passes";79;42
Distribution;"Successful forward passes";60;20
Distribution;"All forward passes";97;80
Distribution;"Successful sideways passes";64;25
Distribution;"All sideways passes";88;33
Distribution;"Successful backward passes";28;9
Distribution;"All backward passes";33;10
Distribution;"Successful crosses";4;2
Distribution;"All crosses";20;5
Distribution;"Field Tilt";69%;31%
