Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";10;"Maciej SKROK";CAM;6.7;74;0;0;0;0;3;0;0;0;2;0;0;1;1;1;2;1;1;3;0%;2;6;1;1;5;12;0;6;0;2;2;8;14;57;1;6;9;2;3;0;2;0;1;2;4;6;9;3;7;1;3;4;4;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Filip GARCZYNSKI";RW;7.1;67;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0%;2;3;7;11;2;3;1;6;1;1;2;9;15;60;0;2;3;7;9;0;3;1;2;2;4;6;9;2;7;4;5;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Daniel LESNIEWSKI";RB;6.9;80;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;2;0%;3;5;0;0;4;10;2;14;2;0;0;39;51;76;1;9;11;14;15;16;25;3;6;12;17;24;28;9;20;14;15;16;16;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";8;"Pawel KAZALA";CM;7.1;91;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0%;6;8;0;2;9;13;3;14;2;1;0;29;37;78;0;3;5;19;23;7;9;5;6;12;17;12;14;6;12;12;14;11;11;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Victor CIEMPIEL";CM;8.6;91;1;0;0;0;2;1;0;0;0;0;0;2;0;0;2;0;1;1;50%;5;5;2;2;7;8;1;16;2;1;1;30;40;75;0;3;7;22;26;5;7;1;4;12;17;17;19;13;20;5;8;12;12;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.4;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;4;0;0;0;22;26;85;0;0;0;0;0;22;26;2;5;4;5;16;16;3;5;19;21;0;0;0;0;0;3;1;6;6;2;2
"POLONIA WARSZAWA";19;"Jan TYSZKO";LW;8.1;83;1;0;0;0;5;3;5;0;3;0;0;1;3;1;2;3;2;3;20%;3;7;1;4;6;13;3;7;0;0;2;27;39;69;3;13;21;13;16;1;2;2;7;7;10;18;22;7;13;12;18;8;8;1;9;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;9.7;80;3;0;0;0;4;0;0;0;1;0;0;3;0;1;3;1;1;1;75%;0;2;5;12;1;3;0;2;0;0;0;10;16;63;1;6;10;4;6;0;0;0;2;2;3;8;11;4;7;5;6;1;3;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;6.6;67;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;2;0%;1;2;2;2;2;4;3;7;1;1;1;38;54;70;0;0;1;19;30;19;23;9;18;9;11;20;25;14;29;17;18;7;7;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Filip PIETRZAK";LB;8.6;91;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0%;3;4;1;2;4;6;2;15;1;0;1;29;38;76;4;13;18;11;14;5;6;1;1;7;13;21;24;7;13;10;13;12;12;1;5;0;0;0;0;0;0;0
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;6.5;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;2;1;4;1;2;0;12;1;0;0;49;65;75;0;2;2;14;19;33;44;6;20;22;24;21;21;18;34;26;26;5;5;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";17;"Oliwier ZIEBA";RW;6.2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;1;0;0;1;1;0;2;0;0;1;5;6;83;0;2;2;1;1;2;3;0;0;0;0;5;6;2;3;1;1;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";18;"Michal STYCZEN";RB;6;8;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0%;1;2;0;0;1;2;0;4;0;0;1;3;5;60;0;0;0;0;0;3;5;0;0;2;3;1;2;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Kacper PUSTOLA";CM;6.6;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;4;4;0;0;4;4;0;2;0;0;0;1;2;50;0;0;0;0;0;1;2;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Milan JAWOR";CB;6.2;24;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;1;1;0;0;1;3;0;0;0;7;11;64;0;1;1;0;0;6;10;0;2;2;4;5;5;1;4;5;6;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";25;"Beniamin WROBLEWSKI";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
