Category;Statistic;"POLONIA WARSZAWA";"AKS SMS LODZ"
Summary;Goals;3;0
Summary;Possessions;56%;44%
Summary;"Shots in total";9;3
Summary;Fouls;7;5
Summary;Offsides;0;1
Summary;"Free kicks";5;7
Summary;Corners;3;2
Summary;"Average player game rating";7.03;6.79
Offensive;"Shots in total";9;3
Offensive;"Shots on target";6;0
Offensive;"Shots off target";2;2
Offensive;"Shots blocked";1;1
Offensive;"Shots inside PA";7;2
Offensive;"Shots outside PA";2;1
Offensive;"Successful take ons";5;4
Offensive;"All take ons";11;8
Offensive;"Shot Conversion Rate";33%;0%
Defensive;"Successful tackles";16;10
Defensive;"All tackles";29;26
Defensive;"Aerial duels";28;28
Defensive;Interceptions;8;17
Defensive;Clearances;7;14
Defensive;Recoveries;59;42
Defensive;Blocks;2;6
Defensive;Mistakes;3;5
Defensive;"Won fouls";5;7
Defensive;"Second Ball Won";59%;41%
Distribution;"Successful passes";207;140
Distribution;Passes;263;185
Distribution;"Pass accuracy";79%;76%
Distribution;"Key passes";6;3
Distribution;"Successful passes in final third";41;5
Distribution;"All passes in final third";63;13
Distribution;"Successful passes in middle third";102;71
Distribution;"All passes in middle third";122;84
Distribution;"Successful passes in defensive third";64;64
Distribution;"All passes in defensive third";78;88
Distribution;"Successful long passes";23;9
Distribution;"All long passes";44;27
Distribution;"Successful medium range passes";68;72
Distribution;"All medium range passes";86;84
Distribution;"Successful short passes";116;59
Distribution;"All short passes";133;74
Distribution;"Successful forward passes";58;44
Distribution;"All forward passes";99;79
Distribution;"Successful sideways passes";87;62
Distribution;"All sideways passes";100;70
Distribution;"Successful backward passes";62;34
Distribution;"All backward passes";64;36
Distribution;"Successful crosses";3;1
Distribution;"All crosses";15;6
Distribution;"Field Tilt";83%;17%
