Category;Statistic;"INDUSTRIA KORONA KIELCE";"POLONIA WARSZAWA"
Summary;Goals;3;3
Summary;Possessions;51%;49%
Summary;"Shots in total";12;20
Summary;Fouls;12;17
Summary;Offsides;1;2
Summary;"Free kicks";18;12
Summary;Corners;10;8
Summary;"Average player game rating";7.11;6.48
Offensive;"Shots in total";12;20
Offensive;"Shots on target";8;8
Offensive;"Shots off target";2;6
Offensive;"Shots blocked";2;6
Offensive;"Shots inside PA";7;13
Offensive;"Shots outside PA";5;7
Offensive;"Successful take ons";19;25
Offensive;"All take ons";29;41
Offensive;"Shot Conversion Rate";25%;15%
Defensive;"Successful tackles";32;29
Defensive;"All tackles";46;35
Defensive;"Aerial duels";42;42
Defensive;Interceptions;32;28
Defensive;Clearances;26;23
Defensive;Recoveries;81;81
Defensive;Blocks;25;13
Defensive;Mistakes;13;6
Defensive;"Won fouls";17;12
Defensive;"Second Ball Won";54%;46%
Distribution;"Successful passes";256;260
Distribution;Passes;358;357
Distribution;"Pass accuracy";72%;73%
Distribution;"Key passes";8;15
Distribution;"Successful passes in final third";58;90
Distribution;"All passes in final third";99;127
Distribution;"Successful passes in middle third";108;101
Distribution;"All passes in middle third";133;134
Distribution;"Successful passes in defensive third";90;69
Distribution;"All passes in defensive third";126;96
Distribution;"Successful long passes";34;28
Distribution;"All long passes";69;49
Distribution;"Successful medium range passes";113;96
Distribution;"All medium range passes";146;131
Distribution;"Successful short passes";109;136
Distribution;"All short passes";143;177
Distribution;"Successful forward passes";92;102
Distribution;"All forward passes";154;166
Distribution;"Successful sideways passes";101;106
Distribution;"All sideways passes";138;136
Distribution;"Successful backward passes";63;52
Distribution;"All backward passes";66;55
Distribution;"Successful crosses";6;10
Distribution;"All crosses";29;29
Distribution;"Field Tilt";44%;56%
