Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;7.6;82;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0%;0;0;4;8;0;0;0;3;0;0;1;10;16;63;1;6;10;4;6;0;0;0;0;3;6;7;10;2;6;4;4;4;6;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;8.9;95;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;0;2;5;0;1;4;10;0;1;2;15;28;54;0;3;8;10;14;2;6;4;8;4;9;7;11;7;13;5;11;3;4;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.1;96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;1;3;0;0;2;11;18;61;0;0;0;0;0;11;18;6;13;2;2;3;3;9;16;2;2;0;0;0;0;1;0;0;0;1;1;1
"POLONIA WARSZAWA";4;"Milan JAWOR";CB;9.1;96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;2;4;5;1;3;1;11;0;0;0;15;27;56;0;0;0;10;18;5;9;1;5;6;11;8;11;4;15;7;8;4;4;0;0;0;0;0;2;2;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";CM;8.5;96;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;0%;3;4;2;2;4;5;3;8;0;0;0;14;23;61;0;0;4;10;14;4;5;0;3;5;6;9;14;4;9;5;8;5;6;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";5;"Daniel LESNIEWSKI";CB;6.6;96;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;1;2;0;2;1;2;1;5;0;0;0;7;9;78;0;1;1;4;5;2;3;0;1;4;4;3;3;3;4;4;4;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;6.9;96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;3;0;1;2;5;3;6;2;0;1;12;20;60;0;1;3;6;10;5;7;1;5;1;4;10;11;5;11;3;5;4;4;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maciej SKROK";CAM;6.7;85;0;0;0;0;2;0;0;0;1;0;0;0;2;0;2;0;0;0;0%;4;7;0;1;4;7;1;6;1;0;2;10;17;59;0;2;6;7;10;1;1;2;3;3;4;5;10;6;10;1;4;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;7.6;96;0;0;0;0;1;6;2;0;1;0;0;1;0;0;0;1;0;0;0%;3;4;0;1;4;5;2;8;0;0;3;15;24;63;1;5;9;9;14;1;1;3;8;4;6;8;10;7;13;4;7;4;4;1;5;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Maksymilian USAREK";LW;8;96;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0%;3;5;1;1;6;8;1;5;0;2;0;7;14;50;2;4;8;3;5;0;1;0;1;1;4;6;9;2;5;3;7;2;2;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Oliwier ZIEBA";RW;8.1;96;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0%;3;4;0;1;4;5;0;4;0;0;1;2;5;40;0;2;3;0;2;0;0;0;0;0;1;2;4;0;2;1;1;1;2;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";25;"Maksim BAHDANOVICH";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";13;"Franciszek BANAS";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Victor CIEMPIEL";CM;6.3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Filip PIETRZAK";LW;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";15;"Michal STYCZEN";CM;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Tomasz TUTKA";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
