Category;Statistic;"WISLA PLOCK";"POLONIA WARSZAWA"
Summary;Goals;1;0
Summary;Possessions;48%;52%
Summary;"Shots in total";12;7
Summary;Fouls;17;20
Summary;Offsides;1;3
Summary;"Free kicks";22;18
Summary;Corners;3;3
Summary;"Average player game rating";6.71;6.06
Offensive;"Shots in total";12;7
Offensive;"Shots on target";6;3
Offensive;"Shots off target";3;2
Offensive;"Shots blocked";3;2
Offensive;"Shots inside PA";8;4
Offensive;"Shots outside PA";4;3
Offensive;"Successful take ons";2;7
Offensive;"All take ons";9;28
Offensive;"Shot Conversion Rate";8%;0%
Defensive;"Successful tackles";32;18
Defensive;"All tackles";34;18
Defensive;"Aerial duels";49;49
Defensive;Interceptions;20;14
Defensive;Clearances;29;20
Defensive;Recoveries;96;107
Defensive;Blocks;14;20
Defensive;Mistakes;9;10
Defensive;"Won fouls";20;17
Defensive;"Second Ball Won";48%;52%
Distribution;"Successful passes";228;281
Distribution;Passes;349;398
Distribution;"Pass accuracy";65%;71%
Distribution;"Key passes";8;4
Distribution;"Successful passes in final third";28;48
Distribution;"All passes in final third";48;94
Distribution;"Successful passes in middle third";61;161
Distribution;"All passes in middle third";100;208
Distribution;"Successful passes in defensive third";139;72
Distribution;"All passes in defensive third";201;96
Distribution;"Successful long passes";25;26
Distribution;"All long passes";72;69
Distribution;"Successful medium range passes";107;131
Distribution;"All medium range passes";156;165
Distribution;"Successful short passes";95;123
Distribution;"All short passes";120;163
Distribution;"Successful forward passes";68;100
Distribution;"All forward passes";168;180
Distribution;"Successful sideways passes";96;126
Distribution;"All sideways passes";113;163
Distribution;"Successful backward passes";63;54
Distribution;"All backward passes";67;54
Distribution;"Successful crosses";4;2
Distribution;"All crosses";13;10
Distribution;"Field Tilt";34%;66%
