Category;Statistic;"FCB ESCOLA VARSOVIA";"POLONIA WARSZAWA"
Summary;Goals;1;1
Summary;Possessions;53%;47%
Summary;"Shots in total";5;6
Summary;Fouls;10;8
Summary;Offsides;0;1
Summary;"Free kicks";9;10
Summary;Corners;0;3
Summary;"Average player game rating";6.91;6.44
Offensive;"Shots in total";5;6
Offensive;"Shots on target";4;3
Offensive;"Shots off target";1;1
Offensive;"Shots blocked";0;2
Offensive;"Shots inside PA";4;2
Offensive;"Shots outside PA";1;4
Offensive;"Successful take ons";2;4
Offensive;"All take ons";3;5
Offensive;"Shot Conversion Rate";20%;17%
Defensive;"Successful tackles";28;12
Defensive;"All tackles";36;14
Defensive;"Aerial duels";9;9
Defensive;Interceptions;10;6
Defensive;Clearances;21;16
Defensive;Recoveries;60;75
Defensive;Blocks;9;6
Defensive;Mistakes;7;4
Defensive;"Won fouls";8;10
Defensive;"Second Ball Won";0%;100%
Distribution;"Successful passes";138;127
Distribution;Passes;210;190
Distribution;"Pass accuracy";66%;67%
Distribution;"Key passes";3;5
Distribution;"Successful passes in final third";34;22
Distribution;"All passes in final third";63;41
Distribution;"Successful passes in middle third";76;45
Distribution;"All passes in middle third";105;64
Distribution;"Successful passes in defensive third";28;60
Distribution;"All passes in defensive third";42;85
Distribution;"Successful long passes";18;13
Distribution;"All long passes";36;28
Distribution;"Successful medium range passes";52;38
Distribution;"All medium range passes";74;63
Distribution;"Successful short passes";68;76
Distribution;"All short passes";100;98
Distribution;"Successful forward passes";60;47
Distribution;"All forward passes";115;91
Distribution;"Successful sideways passes";55;56
Distribution;"All sideways passes";69;67
Distribution;"Successful backward passes";23;24
Distribution;"All backward passes";26;31
Distribution;"Successful crosses";2;2
Distribution;"All crosses";5;7
Distribution;"Field Tilt";61%;39%
