Category;Statistic;"POLONIA WARSZAWA";"WISLA KRAKOW"
Summary;Goals;3;0
Summary;Possessions;45%;55%
Summary;"Shots in total";15;3
Summary;Fouls;9;2
Summary;Offsides;3;1
Summary;"Free kicks";3;11
Summary;Corners;4;0
Summary;"Average player game rating";7.11;7.96
Offensive;"Shots in total";15;3
Offensive;"Shots on target";7;1
Offensive;"Shots off target";5;2
Offensive;"Shots blocked";3;0
Offensive;"Shots inside PA";8;1
Offensive;"Shots outside PA";7;2
Offensive;"Successful take ons";3;4
Offensive;"All take ons";6;14
Offensive;"Shot Conversion Rate";20%;0%
Defensive;"Successful tackles";17;11
Defensive;"All tackles";47;31
Defensive;"Aerial duels";28;28
Defensive;Interceptions;14;8
Defensive;Clearances;12;20
Defensive;Recoveries;54;32
Defensive;Blocks;0;6
Defensive;Mistakes;2;1
Defensive;"Won fouls";2;9
Defensive;"Second Ball Won";67%;33%
Distribution;"Successful passes";108;181
Distribution;Passes;163;226
Distribution;"Pass accuracy";66%;80%
Distribution;"Key passes";11;2
Distribution;"Successful passes in final third";26;26
Distribution;"All passes in final third";47;37
Distribution;"Successful passes in middle third";39;89
Distribution;"All passes in middle third";62;102
Distribution;"Successful passes in defensive third";43;66
Distribution;"All passes in defensive third";54;87
Distribution;"Successful long passes";14;13
Distribution;"All long passes";28;27
Distribution;"Successful medium range passes";55;88
Distribution;"All medium range passes";79;100
Distribution;"Successful short passes";39;80
Distribution;"All short passes";56;99
Distribution;"Successful forward passes";41;53
Distribution;"All forward passes";73;82
Distribution;"Successful sideways passes";35;84
Distribution;"All sideways passes";53;97
Distribution;"Successful backward passes";32;44
Distribution;"All backward passes";37;47
Distribution;"Successful crosses";6;3
Distribution;"All crosses";21;7
Distribution;"Field Tilt";56%;44%
