Category;Statistic;"POLONIA WARSZAWA";"WISLA KRAKOW"
Summary;Goals;3;2
Summary;Possessions;40%;60%
Summary;"Shots in total";20;11
Summary;Fouls;16;11
Summary;Offsides;3;2
Summary;"Free kicks";12;17
Summary;Corners;6;5
Summary;"Average player game rating";7.11;7.96
Offensive;"Shots in total";20;11
Offensive;"Shots on target";9;5
Offensive;"Shots off target";7;5
Offensive;"Shots blocked";4;1
Offensive;"Shots inside PA";10;5
Offensive;"Shots outside PA";10;6
Offensive;"Successful take ons";5;5
Offensive;"All take ons";12;18
Offensive;"Shot Conversion Rate";15%;18%
Defensive;"Successful tackles";33;19
Defensive;"All tackles";77;48
Defensive;"Aerial duels";51;51
Defensive;Interceptions;34;22
Defensive;Clearances;28;25
Defensive;Recoveries;101;94
Defensive;Blocks;5;9
Defensive;Mistakes;13;6
Defensive;"Won fouls";11;16
Defensive;"Second Ball Won";52%;48%
Distribution;"Successful passes";180;426
Distribution;Passes;302;546
Distribution;"Pass accuracy";60%;78%
Distribution;"Key passes";15;6
Distribution;"Successful passes in final third";41;69
Distribution;"All passes in final third";75;111
Distribution;"Successful passes in middle third";58;223
Distribution;"All passes in middle third";107;264
Distribution;"Successful passes in defensive third";81;134
Distribution;"All passes in defensive third";120;171
Distribution;"Successful long passes";25;30
Distribution;"All long passes";64;67
Distribution;"Successful medium range passes";86;213
Distribution;"All medium range passes";134;252
Distribution;"Successful short passes";69;183
Distribution;"All short passes";104;227
Distribution;"Successful forward passes";69;127
Distribution;"All forward passes";154;210
Distribution;"Successful sideways passes";59;197
Distribution;"All sideways passes";87;224
Distribution;"Successful backward passes";52;102
Distribution;"All backward passes";61;112
Distribution;"Successful crosses";6;5
Distribution;"All crosses";28;22
Distribution;"Field Tilt";40%;60%
