Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;6.9;101;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;1;0;0;0%;1;1;1;1;1;2;1;6;0;0;0;18;23;78;0;0;0;9;11;9;12;1;1;11;14;6;8;11;16;7;7;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;7;101;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;2;2;0%;0;0;2;3;2;2;0;9;0;1;0;19;22;86;1;0;0;11;12;8;10;5;6;11;11;3;5;10;13;7;7;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;6.7;87;0;0;0;0;2;0;0;0;0;0;0;1;0;1;2;0;0;0;0%;0;0;2;6;0;0;0;1;2;0;0;6;7;86;0;2;3;4;4;0;0;0;0;0;0;6;7;0;0;2;3;4;4;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;5.9;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;2;0;0;0;12;18;67;0;0;0;0;0;12;18;3;9;5;5;4;4;7;13;5;5;0;0;0;0;0;1;1;4;7;2;3
"POLONIA WARSZAWA";6;"Pawel KAZALA";CM;7.4;101;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0%;1;1;0;2;2;2;0;4;0;0;1;13;16;81;0;1;2;6;8;6;6;0;0;7;9;6;7;5;8;4;4;4;4;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Daniel LESNIEWSKI";RB;7;71;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;3;6;2;2;6;9;0;7;2;1;0;20;30;67;0;6;7;10;13;4;10;1;2;9;12;10;16;9;17;9;10;2;3;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Filip PIETRZAK";LB;6.2;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0%;0;0;0;0;1;2;0;6;0;1;0;17;26;65;2;7;10;7;10;3;6;0;1;7;11;10;14;7;13;6;8;4;5;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;7.3;101;0;0;0;0;1;0;0;0;3;0;0;0;0;1;1;0;1;1;0%;2;6;0;0;3;7;0;16;2;2;1;24;31;77;1;9;11;11;15;4;5;8;9;9;13;7;9;10;14;8;11;6;6;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Pawel TYSZKO";LW;9.3;101;1;0;0;0;3;2;1;0;1;0;0;1;0;2;3;0;4;5;33%;2;2;1;2;6;7;0;2;1;0;2;20;23;87;2;9;10;7;9;4;4;2;2;4;6;14;15;4;6;9;9;7;8;2;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Olivier ZIEMBICKI";CAM;7.4;101;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;2;0%;0;1;1;1;1;3;0;1;1;0;0;11;13;85;1;3;4;7;8;1;1;3;3;4;5;4;5;4;4;5;7;2;2;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Kacper ZIOLKOWSKI";RW;6.6;79;0;0;0;0;1;0;2;0;1;1;0;0;1;0;1;0;2;5;0%;1;3;1;2;3;9;1;2;1;3;0;8;14;57;0;4;8;4;6;0;0;0;2;3;4;5;8;1;3;3;6;4;5;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";13;"Franciszek BANAS";RW;6;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";15;"Bartosz JAWORSKI";CAM;6;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
