Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";16;"Oliwier ZIEBA";LW;6.7;76;0;0;0;0;6;0;1;0;1;0;0;2;2;2;6;0;1;4;0%;0;0;1;1;1;5;0;5;1;2;0;17;26;65;0;15;23;2;3;0;0;0;0;1;5;16;21;4;7;4;9;9;10;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";21;"Maksymilian USAREK";CF;8.2;70;1;0;0;1;3;0;0;0;0;0;0;2;0;1;3;0;4;4;33%;0;1;0;2;4;5;0;5;0;0;1;10;10;100;1;8;8;2;2;0;0;1;1;1;1;8;8;3;3;2;2;5;5;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;6.8;82;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0%;2;2;1;4;3;4;2;8;0;2;2;30;43;70;1;16;21;10;17;4;5;2;4;9;15;19;24;13;19;10;16;7;8;2;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";CM;8.2;95;0;0;1;0;4;1;1;0;0;0;0;1;2;1;0;4;3;3;0%;1;1;0;2;4;6;3;15;0;0;6;39;55;71;5;7;14;23;27;9;14;4;8;16;22;19;25;23;33;5;10;11;12;1;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CAM;6.9;80;0;0;0;0;2;3;5;0;2;0;0;0;1;1;2;0;2;5;0%;0;0;0;1;2;5;0;5;1;1;2;36;47;77;5;17;26;16;18;3;3;4;7;16;20;16;20;13;17;14;19;9;11;3;7;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";RB;7;88;0;0;0;0;1;6;0;0;1;1;0;1;0;0;0;1;3;4;0%;0;2;2;2;3;7;0;20;1;1;2;48;57;84;2;6;6;28;35;14;16;6;11;25;28;17;18;23;31;20;21;5;5;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Piotr JEMIOLA";LB;6.4;95;0;0;0;0;2;0;0;0;5;0;0;0;1;1;0;2;0;1;0%;0;2;0;1;0;3;3;10;2;2;1;48;59;81;3;21;24;15;17;12;18;2;7;15;20;31;32;16;25;14;16;18;18;1;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Milan JAWOR";LB;8;95;1;0;0;0;2;3;0;0;0;0;0;1;0;1;2;0;0;0;50%;0;0;5;5;1;1;2;13;1;0;0;43;51;84;0;3;5;16;19;24;27;3;6;20;22;20;23;15;21;22;23;6;7;0;0;0;0;0;7;8;0;0
"POLONIA WARSZAWA";7;"Franciszek BANAS";RW;7.1;95;0;0;0;1;5;0;0;0;0;0;0;0;0;5;4;1;3;8;0%;1;2;1;1;5;11;0;5;2;0;1;15;20;75;0;8;11;7;9;0;0;0;0;6;8;9;12;3;6;2;4;10;10;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Victor CIEMPIEL";DM;7.1;95;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;1;0%;5;8;1;1;6;11;1;20;2;1;0;36;53;68;1;11;18;23;31;2;4;6;9;15;19;15;25;16;30;13;16;7;7;0;0;0;0;0;0;0;0;0
