Category;Statistic;"MKS POLONIA WARSZAWA";"STOMIL OLSZTYN SA"
Summary;Goals;1;2
Summary;Possessions;61%;39%
Summary;"Shots in total";16;4
Summary;Fouls;6;4
Summary;Offsides;0;0
Summary;"Free kicks";4;6
Summary;Corners;1;0
Summary;"Average player game rating";7.14;6.01
Offensive;"Shots in total";16;4
Offensive;"Shots on target";5;3
Offensive;"Shots off target";10;0
Offensive;"Shots blocked";1;1
Offensive;"Shots inside PA";11;1
Offensive;"Shots outside PA";5;3
Offensive;"Successful take ons";12;2
Offensive;"All take ons";19;9
Offensive;"Shot Conversion Rate";6%;50%
Defensive;"Successful tackles";16;13
Defensive;"All tackles";23;21
Defensive;"Aerial duels";20;20
Defensive;Interceptions;14;20
Defensive;Clearances;10;31
Defensive;Recoveries;55;28
Defensive;Blocks;4;12
Defensive;Mistakes;4;3
Defensive;"Won fouls";4;6
Defensive;"Second Ball Won";82%;18%
Distribution;"Successful passes";216;102
Distribution;Passes;270;140
Distribution;"Pass accuracy";80%;73%
Distribution;"Key passes";14;2
Distribution;"Successful passes in final third";76;2
Distribution;"All passes in final third";115;8
Distribution;"Successful passes in middle third";108;38
Distribution;"All passes in middle third";119;51
Distribution;"Successful passes in defensive third";32;62
Distribution;"All passes in defensive third";36;81
Distribution;"Successful long passes";27;4
Distribution;"All long passes";37;22
Distribution;"Successful medium range passes";95;40
Distribution;"All medium range passes";112;50
Distribution;"Successful short passes";94;58
Distribution;"All short passes";121;68
Distribution;"Successful forward passes";73;30
Distribution;"All forward passes";102;58
Distribution;"Successful sideways passes";107;49
Distribution;"All sideways passes";129;57
Distribution;"Successful backward passes";36;23
Distribution;"All backward passes";39;25
Distribution;"Successful crosses";11;1
Distribution;"All crosses";35;7
Distribution;"Field Tilt";93%;7%
