Category;Statistic;"MKS POLONIA WARSZAWA";"STOMIL OLSZTYN SA"
Summary;Goals;2;2
Summary;Possessions;55%;45%
Summary;"Shots in total";32;8
Summary;Fouls;11;6
Summary;Offsides;1;0
Summary;"Free kicks";5;11
Summary;Corners;8;2
Summary;"Average player game rating";7.14;6.01
Offensive;"Shots in total";32;8
Offensive;"Shots on target";11;4
Offensive;"Shots off target";16;2
Offensive;"Shots blocked";5;2
Offensive;"Shots inside PA";22;1
Offensive;"Shots outside PA";10;7
Offensive;"Successful take ons";27;5
Offensive;"All take ons";41;13
Offensive;"Shot Conversion Rate";6%;25%
Defensive;"Successful tackles";25;30
Defensive;"All tackles";40;46
Defensive;"Aerial duels";30;30
Defensive;Interceptions;37;37
Defensive;Clearances;16;38
Defensive;Recoveries;98;56
Defensive;Blocks;6;22
Defensive;Mistakes;10;8
Defensive;"Won fouls";6;11
Defensive;"Second Ball Won";78%;22%
Distribution;"Successful passes";391;289
Distribution;Passes;493;380
Distribution;"Pass accuracy";79%;76%
Distribution;"Key passes";24;5
Distribution;"Successful passes in final third";133;16
Distribution;"All passes in final third";195;30
Distribution;"Successful passes in middle third";186;85
Distribution;"All passes in middle third";207;115
Distribution;"Successful passes in defensive third";72;188
Distribution;"All passes in defensive third";91;235
Distribution;"Successful long passes";42;13
Distribution;"All long passes";65;47
Distribution;"Successful medium range passes";154;111
Distribution;"All medium range passes";187;139
Distribution;"Successful short passes";195;165
Distribution;"All short passes";241;193
Distribution;"Successful forward passes";131;69
Distribution;"All forward passes";187;135
Distribution;"Successful sideways passes";182;145
Distribution;"All sideways passes";222;164
Distribution;"Successful backward passes";78;75
Distribution;"All backward passes";84;80
Distribution;"Successful crosses";13;2
Distribution;"All crosses";47;11
Distribution;"Field Tilt";87%;13%
