Category;Statistic;"MKS POLONIA WARSZAWA";"INDUSTRIA KORONA KIELCE"
Summary;Goals;2;0
Summary;Possessions;52%;48%
Summary;"Shots in total";14;4
Summary;Fouls;11;7
Summary;Offsides;1;0
Summary;"Free kicks";7;12
Summary;Corners;4;2
Summary;"Average player game rating";7.51;7.57
Offensive;"Shots in total";14;4
Offensive;"Shots on target";4;1
Offensive;"Shots off target";6;1
Offensive;"Shots blocked";4;2
Offensive;"Shots inside PA";10;1
Offensive;"Shots outside PA";4;3
Offensive;"Successful take ons";14;7
Offensive;"All take ons";17;12
Offensive;"Shot Conversion Rate";14%;0%
Defensive;"Successful tackles";16;12
Defensive;"All tackles";30;28
Defensive;"Aerial duels";10;10
Defensive;Interceptions;14;14
Defensive;Clearances;6;10
Defensive;Recoveries;42;37
Defensive;Blocks;10;8
Defensive;Mistakes;11;3
Defensive;"Won fouls";7;11
Defensive;"Second Ball Won";33%;67%
Distribution;"Successful passes";153;146
Distribution;Passes;196;195
Distribution;"Pass accuracy";78%;75%
Distribution;"Key passes";10;4
Distribution;"Successful passes in final third";37;29
Distribution;"All passes in final third";56;38
Distribution;"Successful passes in middle third";59;44
Distribution;"All passes in middle third";72;59
Distribution;"Successful passes in defensive third";57;73
Distribution;"All passes in defensive third";68;98
Distribution;"Successful long passes";21;9
Distribution;"All long passes";30;22
Distribution;"Successful medium range passes";65;69
Distribution;"All medium range passes";81;86
Distribution;"Successful short passes";67;68
Distribution;"All short passes";85;87
Distribution;"Successful forward passes";55;41
Distribution;"All forward passes";83;70
Distribution;"Successful sideways passes";60;69
Distribution;"All sideways passes";73;85
Distribution;"Successful backward passes";38;36
Distribution;"All backward passes";40;40
Distribution;"Successful crosses";5;0
Distribution;"All crosses";13;3
Distribution;"Field Tilt";60%;40%
