Category;Statistic;"LEGIA WARSAW";"POLONIA WARSZAWA"
Summary;Goals;1;1
Summary;Possessions;61%;39%
Summary;"Shots in total";12;11
Summary;Fouls;8;8
Summary;Offsides;0;1
Summary;"Free kicks";8;8
Summary;Corners;4;5
Summary;"Average player game rating";6.91;6.8
Offensive;"Shots in total";12;11
Offensive;"Shots on target";3;2
Offensive;"Shots off target";3;6
Offensive;"Shots blocked";6;3
Offensive;"Shots inside PA";10;6
Offensive;"Shots outside PA";2;5
Offensive;"Successful take ons";8;9
Offensive;"All take ons";20;20
Offensive;"Shot Conversion Rate";8%;9%
Defensive;"Successful tackles";12;13
Defensive;"All tackles";14;16
Defensive;"Aerial duels";13;13
Defensive;Interceptions;18;16
Defensive;Clearances;17;23
Defensive;Recoveries;39;40
Defensive;Blocks;9;8
Defensive;Mistakes;1;4
Defensive;"Won fouls";8;8
Defensive;"Second Ball Won";54%;46%
Distribution;"Successful passes";211;86
Distribution;Passes;261;130
Distribution;"Pass accuracy";81%;66%
Distribution;"Key passes";8;5
Distribution;"Successful passes in final third";52;25
Distribution;"All passes in final third";71;42
Distribution;"Successful passes in middle third";99;26
Distribution;"All passes in middle third";122;38
Distribution;"Successful passes in defensive third";60;35
Distribution;"All passes in defensive third";68;50
Distribution;"Successful long passes";16;7
Distribution;"All long passes";26;26
Distribution;"Successful medium range passes";108;39
Distribution;"All medium range passes";131;48
Distribution;"Successful short passes";87;40
Distribution;"All short passes";104;56
Distribution;"Successful forward passes";72;36
Distribution;"All forward passes";107;64
Distribution;"Successful sideways passes";82;28
Distribution;"All sideways passes";93;42
Distribution;"Successful backward passes";57;22
Distribution;"All backward passes";61;24
Distribution;"Successful crosses";4;2
Distribution;"All crosses";14;12
Distribution;"Field Tilt";63%;37%
