Category;Statistic;"POLONIA WARSZAWA";"WIDZEW LODZ"
Summary;Goals;0;0
Summary;Possessions;55%;45%
Summary;"Shots in total";9;14
Summary;Fouls;2;5
Summary;Offsides;1;0
Summary;"Free kicks";5;3
Summary;Corners;1;5
Summary;"Average player game rating";6.95;7.49
Offensive;"Shots in total";9;14
Offensive;"Shots on target";2;2
Offensive;"Shots off target";4;6
Offensive;"Shots blocked";3;6
Offensive;"Shots inside PA";4;10
Offensive;"Shots outside PA";5;4
Offensive;"Successful take ons";12;4
Offensive;"All take ons";17;7
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";4;3
Defensive;"All tackles";8;15
Defensive;"Aerial duels";3;3
Defensive;Interceptions;23;25
Defensive;Clearances;31;37
Defensive;Recoveries;50;46
Defensive;Blocks;6;3
Defensive;Mistakes;0;0
Defensive;"Won fouls";5;1
Defensive;"Second Ball Won";33%;67%
Distribution;"Successful passes";148;102
Distribution;Passes;195;152
Distribution;"Pass accuracy";76%;67%
Distribution;"Key passes";7;9
Distribution;"Successful passes in final third";44;17
Distribution;"All passes in final third";66;33
Distribution;"Successful passes in middle third";44;31
Distribution;"All passes in middle third";59;43
Distribution;"Successful passes in defensive third";59;54
Distribution;"All passes in defensive third";69;76
Distribution;"Successful long passes";14;20
Distribution;"All long passes";30;42
Distribution;"Successful medium range passes";66;41
Distribution;"All medium range passes";77;57
Distribution;"Successful short passes";67;41
Distribution;"All short passes";87;53
Distribution;"Successful forward passes";60;50
Distribution;"All forward passes";89;81
Distribution;"Successful sideways passes";63;36
Distribution;"All sideways passes";79;53
Distribution;"Successful backward passes";24;16
Distribution;"All backward passes";26;18
Distribution;"Successful crosses";2;4
Distribution;"All crosses";8;10
Distribution;"Field Tilt";67%;33%
