Category;Statistic;"POLONIA WARSZAWA";"UKS TALENT WARSZAWA"
Summary;Goals;3;0
Summary;Possessions;59%;41%
Summary;"Shots in total";4;2
Summary;Fouls;7;9
Summary;Offsides;2;1
Summary;"Free kicks";10;9
Summary;Corners;1;1
Summary;"Average player game rating";6.88;5.81
Offensive;"Shots in total";4;2
Offensive;"Shots on target";3;0
Offensive;"Shots off target";1;1
Offensive;"Shots blocked";0;1
Offensive;"Shots inside PA";3;1
Offensive;"Shots outside PA";1;1
Offensive;"Successful take ons";4;3
Offensive;"All take ons";6;8
Offensive;"Shot Conversion Rate";75%;0%
Defensive;"Successful tackles";5;8
Defensive;"All tackles";9;10
Defensive;"Aerial duels";11;11
Defensive;Interceptions;9;6
Defensive;Clearances;17;21
Defensive;Recoveries;48;42
Defensive;Blocks;5;6
Defensive;Mistakes;14;11
Defensive;"Won fouls";9;7
Defensive;"Second Ball Won";60%;40%
Distribution;"Successful passes";171;89
Distribution;Passes;223;139
Distribution;"Pass accuracy";77%;64%
Distribution;"Key passes";1;1
Distribution;"Successful passes in final third";40;19
Distribution;"All passes in final third";66;36
Distribution;"Successful passes in middle third";64;38
Distribution;"All passes in middle third";80;55
Distribution;"Successful passes in defensive third";67;32
Distribution;"All passes in defensive third";77;48
Distribution;"Successful long passes";14;11
Distribution;"All long passes";33;27
Distribution;"Successful medium range passes";56;51
Distribution;"All medium range passes";72;63
Distribution;"Successful short passes";100;27
Distribution;"All short passes";117;49
Distribution;"Successful forward passes";62;29
Distribution;"All forward passes";91;63
Distribution;"Successful sideways passes";78;41
Distribution;"All sideways passes";96;53
Distribution;"Successful backward passes";30;19
Distribution;"All backward passes";35;23
Distribution;"Successful crosses";2;1
Distribution;"All crosses";10;7
Distribution;"Field Tilt";65%;35%
