Category;Statistic;"POLONIA WARSZAWA";"UKS TALENT WARSZAWA"
Summary;Goals;5;1
Summary;Possessions;53%;47%
Summary;"Shots in total";11;12
Summary;Fouls;19;11
Summary;Offsides;2;5
Summary;"Free kicks";16;20
Summary;Corners;5;4
Summary;"Average player game rating";6.88;5.81
Offensive;"Shots in total";11;12
Offensive;"Shots on target";8;5
Offensive;"Shots off target";2;4
Offensive;"Shots blocked";1;3
Offensive;"Shots inside PA";9;8
Offensive;"Shots outside PA";2;4
Offensive;"Successful take ons";7;13
Offensive;"All take ons";11;24
Offensive;"Shot Conversion Rate";45%;8%
Defensive;"Successful tackles";11;10
Defensive;"All tackles";15;12
Defensive;"Aerial duels";16;16
Defensive;Interceptions;13;13
Defensive;Clearances;41;41
Defensive;Recoveries;85;82
Defensive;Blocks;20;13
Defensive;Mistakes;30;24
Defensive;"Won fouls";11;19
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";258;218
Distribution;Passes;353;317
Distribution;"Pass accuracy";73%;69%
Distribution;"Key passes";8;9
Distribution;"Successful passes in final third";57;53
Distribution;"All passes in final third";100;96
Distribution;"Successful passes in middle third";94;103
Distribution;"All passes in middle third";127;139
Distribution;"Successful passes in defensive third";107;62
Distribution;"All passes in defensive third";126;82
Distribution;"Successful long passes";24;32
Distribution;"All long passes";58;60
Distribution;"Successful medium range passes";85;106
Distribution;"All medium range passes";109;130
Distribution;"Successful short passes";148;80
Distribution;"All short passes";185;127
Distribution;"Successful forward passes";93;83
Distribution;"All forward passes";152;148
Distribution;"Successful sideways passes";119;92
Distribution;"All sideways passes";147;117
Distribution;"Successful backward passes";45;43
Distribution;"All backward passes";53;52
Distribution;"Successful crosses";6;7
Distribution;"All crosses";20;26
Distribution;"Field Tilt";51%;49%
