Category;Statistic;"JAGIELLONIA BIALYSTOK";"POLONIA WARSZAWA"
Summary;Goals;5;4
Summary;Possessions;51%;49%
Summary;"Shots in total";26;16
Summary;Fouls;21;14
Summary;Offsides;2;3
Summary;"Free kicks";15;18
Summary;Corners;7;1
Summary;"Average player game rating";7.15;6.19
Offensive;"Shots in total";26;16
Offensive;"Shots on target";15;9
Offensive;"Shots off target";6;4
Offensive;"Shots blocked";5;3
Offensive;"Shots inside PA";14;8
Offensive;"Shots outside PA";12;8
Offensive;"Successful take ons";26;21
Offensive;"All take ons";33;22
Offensive;"Shot Conversion Rate";19%;25%
Defensive;"Successful tackles";25;33
Defensive;"All tackles";41;55
Defensive;"Aerial duels";46;46
Defensive;Interceptions;46;50
Defensive;Clearances;18;33
Defensive;Recoveries;93;88
Defensive;Blocks;10;14
Defensive;Mistakes;7;9
Defensive;"Won fouls";14;21
Defensive;"Second Ball Won";46%;54%
Distribution;"Successful passes";260;216
Distribution;Passes;376;333
Distribution;"Pass accuracy";69%;65%
Distribution;"Key passes";15;7
Distribution;"Successful passes in final third";80;40
Distribution;"All passes in final third";116;79
Distribution;"Successful passes in middle third";107;79
Distribution;"All passes in middle third";153;114
Distribution;"Successful passes in defensive third";73;97
Distribution;"All passes in defensive third";107;140
Distribution;"Successful long passes";17;22
Distribution;"All long passes";46;68
Distribution;"Successful medium range passes";100;86
Distribution;"All medium range passes";133;115
Distribution;"Successful short passes";143;108
Distribution;"All short passes";197;150
Distribution;"Successful forward passes";110;72
Distribution;"All forward passes";190;153
Distribution;"Successful sideways passes";100;103
Distribution;"All sideways passes";132;134
Distribution;"Successful backward passes";50;41
Distribution;"All backward passes";54;46
Distribution;"Successful crosses";7;2
Distribution;"All crosses";24;14
Distribution;"Field Tilt";59%;41%
