Category;Statistic;"POLONIA WARSZAWA";"FCB ESCOLA VARSOVIA"
Summary;Goals;1;0
Summary;Possessions;45%;55%
Summary;"Shots in total";10;2
Summary;Fouls;5;12
Summary;Offsides;0;0
Summary;"Free kicks";9;4
Summary;Corners;2;1
Summary;"Average player game rating";6.68;7.33
Offensive;"Shots in total";10;2
Offensive;"Shots on target";4;0
Offensive;"Shots off target";5;1
Offensive;"Shots blocked";1;1
Offensive;"Shots inside PA";4;0
Offensive;"Shots outside PA";6;2
Offensive;"Successful take ons";2;0
Offensive;"All take ons";8;6
Offensive;"Shot Conversion Rate";10%;0%
Defensive;"Successful tackles";6;12
Defensive;"All tackles";10;13
Defensive;"Aerial duels";9;9
Defensive;Interceptions;6;5
Defensive;Clearances;10;19
Defensive;Recoveries;53;49
Defensive;Blocks;5;7
Defensive;Mistakes;2;1
Defensive;"Won fouls";12;5
Defensive;"Second Ball Won";22%;78%
Distribution;"Successful passes";126;172
Distribution;Passes;190;238
Distribution;"Pass accuracy";66%;72%
Distribution;"Key passes";3;1
Distribution;"Successful passes in final third";22;15
Distribution;"All passes in final third";49;30
Distribution;"Successful passes in middle third";58;73
Distribution;"All passes in middle third";79;103
Distribution;"Successful passes in defensive third";46;84
Distribution;"All passes in defensive third";62;105
Distribution;"Successful long passes";14;12
Distribution;"All long passes";32;27
Distribution;"Successful medium range passes";56;78
Distribution;"All medium range passes";73;102
Distribution;"Successful short passes";56;82
Distribution;"All short passes";85;108
Distribution;"Successful forward passes";43;58
Distribution;"All forward passes";86;97
Distribution;"Successful sideways passes";47;69
Distribution;"All sideways passes";63;91
Distribution;"Successful backward passes";36;45
Distribution;"All backward passes";41;49
Distribution;"Successful crosses";1;2
Distribution;"All crosses";5;8
Distribution;"Field Tilt";62%;38%
