Category;Statistic;"WISLA KRAKOW";"POLONIA WARSZAWA"
Summary;Goals;1;3
Summary;Possessions;59%;41%
Summary;"Shots in total";21;19
Summary;Fouls;12;10
Summary;Offsides;1;4
Summary;"Free kicks";10;12
Summary;Corners;3;8
Summary;"Average player game rating";6.62;7.33
Offensive;"Shots in total";21;19
Offensive;"Shots on target";7;6
Offensive;"Shots off target";9;8
Offensive;"Shots blocked";5;5
Offensive;"Shots inside PA";7;11
Offensive;"Shots outside PA";14;8
Offensive;"Successful take ons";2;2
Offensive;"All take ons";10;16
Offensive;"Shot Conversion Rate";5%;16%
Defensive;"Successful tackles";12;28
Defensive;"All tackles";27;41
Defensive;"Aerial duels";27;27
Defensive;Interceptions;11;22
Defensive;Clearances;16;18
Defensive;Recoveries;86;98
Defensive;Blocks;15;20
Defensive;Mistakes;3;6
Defensive;"Won fouls";10;12
Defensive;"Second Ball Won";42%;58%
Distribution;"Successful passes";425;210
Distribution;Passes;526;318
Distribution;"Pass accuracy";81%;66%
Distribution;"Key passes";17;11
Distribution;"Successful passes in final third";110;32
Distribution;"All passes in final third";148;60
Distribution;"Successful passes in middle third";186;87
Distribution;"All passes in middle third";219;118
Distribution;"Successful passes in defensive third";129;91
Distribution;"All passes in defensive third";159;140
Distribution;"Successful long passes";29;30
Distribution;"All long passes";67;61
Distribution;"Successful medium range passes";190;74
Distribution;"All medium range passes";213;112
Distribution;"Successful short passes";206;106
Distribution;"All short passes";246;145
Distribution;"Successful forward passes";120;71
Distribution;"All forward passes";195;151
Distribution;"Successful sideways passes";196;92
Distribution;"All sideways passes";217;112
Distribution;"Successful backward passes";109;47
Distribution;"All backward passes";114;55
Distribution;"Successful crosses";4;3
Distribution;"All crosses";14;11
Distribution;"Field Tilt";71%;29%
