Category;Statistic;"HUTNIK KRAKOW";"POLONIA WARSZAWA"
Summary;Goals;0;3
Summary;Possessions;51%;49%
Summary;"Shots in total";5;13
Summary;Fouls;13;7
Summary;Offsides;1;2
Summary;"Free kicks";8;15
Summary;Corners;3;1
Summary;"Average player game rating";6.68;6.6
Offensive;"Shots in total";5;13
Offensive;"Shots on target";2;4
Offensive;"Shots off target";1;5
Offensive;"Shots blocked";2;4
Offensive;"Shots inside PA";4;5
Offensive;"Shots outside PA";1;8
Offensive;"Successful take ons";7;5
Offensive;"All take ons";9;7
Offensive;"Shot Conversion Rate";0%;23%
Defensive;"Successful tackles";5;7
Defensive;"All tackles";10;14
Defensive;"Aerial duels";4;4
Defensive;Interceptions;28;30
Defensive;Clearances;29;27
Defensive;Recoveries;36;33
Defensive;Blocks;6;2
Defensive;Mistakes;0;0
Defensive;"Won fouls";7;12
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";143;135
Distribution;Passes;195;175
Distribution;"Pass accuracy";73%;77%
Distribution;"Key passes";5;5
Distribution;"Successful passes in final third";22;36
Distribution;"All passes in final third";39;50
Distribution;"Successful passes in middle third";50;58
Distribution;"All passes in middle third";62;69
Distribution;"Successful passes in defensive third";71;41
Distribution;"All passes in defensive third";93;56
Distribution;"Successful long passes";9;16
Distribution;"All long passes";30;33
Distribution;"Successful medium range passes";69;59
Distribution;"All medium range passes";84;64
Distribution;"Successful short passes";65;60
Distribution;"All short passes";80;78
Distribution;"Successful forward passes";57;61
Distribution;"All forward passes";92;89
Distribution;"Successful sideways passes";54;47
Distribution;"All sideways passes";66;58
Distribution;"Successful backward passes";32;27
Distribution;"All backward passes";36;28
Distribution;"Successful crosses";4;1
Distribution;"All crosses";9;6
Distribution;"Field Tilt";44%;56%
