Category;Statistic;"POLONIA WARSZAWA";"AKS SMS LODZ"
Summary;Goals;2;0
Summary;Possessions;47%;53%
Summary;"Shots in total";7;9
Summary;Fouls;4;6
Summary;Offsides;0;1
Summary;"Free kicks";5;3
Summary;Corners;2;3
Summary;"Average player game rating";7.03;6.79
Offensive;"Shots in total";7;9
Offensive;"Shots on target";2;4
Offensive;"Shots off target";2;3
Offensive;"Shots blocked";3;2
Offensive;"Shots inside PA";4;4
Offensive;"Shots outside PA";3;5
Offensive;"Successful take ons";4;4
Offensive;"All take ons";6;7
Offensive;"Shot Conversion Rate";29%;0%
Defensive;"Successful tackles";16;10
Defensive;"All tackles";23;16
Defensive;"Aerial duels";13;13
Defensive;Interceptions;9;5
Defensive;Clearances;7;1
Defensive;Recoveries;56;62
Defensive;Blocks;8;7
Defensive;Mistakes;4;1
Defensive;"Won fouls";6;4
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";101;136
Distribution;Passes;161;204
Distribution;"Pass accuracy";63%;67%
Distribution;"Key passes";4;5
Distribution;"Successful passes in final third";19;16
Distribution;"All passes in final third";27;43
Distribution;"Successful passes in middle third";24;61
Distribution;"All passes in middle third";42;83
Distribution;"Successful passes in defensive third";58;59
Distribution;"All passes in defensive third";92;78
Distribution;"Successful long passes";8;16
Distribution;"All long passes";32;31
Distribution;"Successful medium range passes";28;65
Distribution;"All medium range passes";48;93
Distribution;"Successful short passes";65;55
Distribution;"All short passes";81;80
Distribution;"Successful forward passes";33;44
Distribution;"All forward passes";82;88
Distribution;"Successful sideways passes";44;54
Distribution;"All sideways passes";55;75
Distribution;"Successful backward passes";24;38
Distribution;"All backward passes";24;41
Distribution;"Successful crosses";2;4
Distribution;"All crosses";6;17
Distribution;"Field Tilt";39%;61%
