Category;Statistic;"INDUSTRIA KORONA KIELCE";"POLONIA WARSZAWA"
Summary;Goals;1;3
Summary;Possessions;48%;52%
Summary;"Shots in total";5;15
Summary;Fouls;7;8
Summary;Offsides;0;2
Summary;"Free kicks";10;7
Summary;Corners;4;5
Summary;"Average player game rating";7.11;6.48
Offensive;"Shots in total";5;15
Offensive;"Shots on target";3;5
Offensive;"Shots off target";1;6
Offensive;"Shots blocked";1;4
Offensive;"Shots inside PA";2;9
Offensive;"Shots outside PA";3;6
Offensive;"Successful take ons";9;18
Offensive;"All take ons";13;26
Offensive;"Shot Conversion Rate";20%;20%
Defensive;"Successful tackles";21;17
Defensive;"All tackles";32;20
Defensive;"Aerial duels";30;30
Defensive;Interceptions;24;20
Defensive;Clearances;12;5
Defensive;Recoveries;38;54
Defensive;Blocks;19;8
Defensive;Mistakes;6;2
Defensive;"Won fouls";8;7
Defensive;"Second Ball Won";48%;52%
Distribution;"Successful passes";129;157
Distribution;Passes;186;216
Distribution;"Pass accuracy";69%;73%
Distribution;"Key passes";4;12
Distribution;"Successful passes in final third";29;69
Distribution;"All passes in final third";47;90
Distribution;"Successful passes in middle third";59;62
Distribution;"All passes in middle third";74;81
Distribution;"Successful passes in defensive third";41;26
Distribution;"All passes in defensive third";65;45
Distribution;"Successful long passes";17;16
Distribution;"All long passes";38;33
Distribution;"Successful medium range passes";54;57
Distribution;"All medium range passes";75;75
Distribution;"Successful short passes";58;84
Distribution;"All short passes";73;108
Distribution;"Successful forward passes";50;63
Distribution;"All forward passes";88;102
Distribution;"Successful sideways passes";46;58
Distribution;"All sideways passes";64;77
Distribution;"Successful backward passes";33;36
Distribution;"All backward passes";34;37
Distribution;"Successful crosses";3;9
Distribution;"All crosses";16;24
Distribution;"Field Tilt";34%;66%
