Category;Statistic;"WIDZEW LODZ";"POLONIA WARSZAWA"
Summary;Goals;2;1
Summary;Possessions;45%;55%
Summary;"Shots in total";10;16
Summary;Fouls;12;9
Summary;Offsides;3;0
Summary;"Free kicks";8;15
Summary;Corners;9;7
Summary;"Average player game rating";6.87;7.17
Offensive;"Shots in total";10;16
Offensive;"Shots on target";7;3
Offensive;"Shots off target";2;9
Offensive;"Shots blocked";1;4
Offensive;"Shots inside PA";9;13
Offensive;"Shots outside PA";1;3
Offensive;"Successful take ons";6;8
Offensive;"All take ons";14;13
Offensive;"Shot Conversion Rate";20%;6%
Defensive;"Successful tackles";44;33
Defensive;"All tackles";68;48
Defensive;"Aerial duels";45;45
Defensive;Interceptions;29;23
Defensive;Clearances;45;33
Defensive;Recoveries;95;111
Defensive;Blocks;19;8
Defensive;Mistakes;9;5
Defensive;"Won fouls";9;12
Defensive;"Second Ball Won";38%;62%
Distribution;"Successful passes";182;302
Distribution;Passes;294;422
Distribution;"Pass accuracy";62%;72%
Distribution;"Key passes";7;12
Distribution;"Successful passes in final third";32;69
Distribution;"All passes in final third";53;120
Distribution;"Successful passes in middle third";63;121
Distribution;"All passes in middle third";100;169
Distribution;"Successful passes in defensive third";87;112
Distribution;"All passes in defensive third";141;133
Distribution;"Successful long passes";34;28
Distribution;"All long passes";76;66
Distribution;"Successful medium range passes";73;124
Distribution;"All medium range passes";109;159
Distribution;"Successful short passes";75;150
Distribution;"All short passes";109;197
Distribution;"Successful forward passes";62;106
Distribution;"All forward passes";147;181
Distribution;"Successful sideways passes";76;130
Distribution;"All sideways passes";96;168
Distribution;"Successful backward passes";44;66
Distribution;"All backward passes";51;73
Distribution;"Successful crosses";5;7
Distribution;"All crosses";17;21
Distribution;"Field Tilt";31%;69%
