Category;Statistic;"UKS TALENT WARSZAWA";"POLONIA WARSZAWA"
Summary;Goals;1;0
Summary;Possessions;46%;54%
Summary;"Shots in total";3;6
Summary;Fouls;13;6
Summary;Offsides;0;0
Summary;"Free kicks";6;13
Summary;Corners;0;2
Summary;"Average player game rating";6.33;5.69
Offensive;"Shots in total";3;6
Offensive;"Shots on target";1;3
Offensive;"Shots off target";2;0
Offensive;"Shots blocked";0;3
Offensive;"Shots inside PA";3;4
Offensive;"Shots outside PA";0;2
Offensive;"Successful take ons";3;3
Offensive;"All take ons";7;3
Offensive;"Shot Conversion Rate";33%;0%
Defensive;"Successful tackles";15;19
Defensive;"All tackles";33;31
Defensive;"Aerial duels";27;27
Defensive;Interceptions;17;17
Defensive;Clearances;22;15
Defensive;Recoveries;72;69
Defensive;Blocks;10;3
Defensive;Mistakes;4;3
Defensive;"Won fouls";6;13
Defensive;"Second Ball Won";40%;60%
Distribution;"Successful passes";71;118
Distribution;Passes;149;201
Distribution;"Pass accuracy";48%;59%
Distribution;"Key passes";3;4
Distribution;"Successful passes in final third";12;24
Distribution;"All passes in final third";31;52
Distribution;"Successful passes in middle third";23;63
Distribution;"All passes in middle third";59;98
Distribution;"Successful passes in defensive third";36;31
Distribution;"All passes in defensive third";59;51
Distribution;"Successful long passes";8;17
Distribution;"All long passes";28;47
Distribution;"Successful medium range passes";32;33
Distribution;"All medium range passes";58;57
Distribution;"Successful short passes";31;68
Distribution;"All short passes";63;96
Distribution;"Successful forward passes";36;49
Distribution;"All forward passes";96;104
Distribution;"Successful sideways passes";29;39
Distribution;"All sideways passes";43;61
Distribution;"Successful backward passes";6;30
Distribution;"All backward passes";10;35
Distribution;"Successful crosses";1;1
Distribution;"All crosses";8;11
Distribution;"Field Tilt";37%;63%
