Category;Statistic;"POLONIA WARSZAWA";"MKS PODLASIE BIALA PODLASKA"
Summary;Goals;2;0
Summary;Possessions;55%;45%
Summary;"Shots in total";27;13
Summary;Fouls;12;15
Summary;Offsides;3;3
Summary;"Free kicks";17;15
Summary;Corners;9;2
Summary;"Average player game rating";6.82;6.47
Offensive;"Shots in total";27;13
Offensive;"Shots on target";7;4
Offensive;"Shots off target";12;5
Offensive;"Shots blocked";8;4
Offensive;"Shots inside PA";18;5
Offensive;"Shots outside PA";9;8
Offensive;"Successful take ons";17;8
Offensive;"All take ons";32;15
Offensive;"Shot Conversion Rate";7%;0%
Defensive;"Successful tackles";10;22
Defensive;"All tackles";21;56
Defensive;"Aerial duels";23;23
Defensive;Interceptions;15;30
Defensive;Clearances;13;22
Defensive;Recoveries;118;88
Defensive;Blocks;11;19
Defensive;Mistakes;10;7
Defensive;"Won fouls";15;12
Defensive;"Second Ball Won";64%;36%
Distribution;"Successful passes";352;207
Distribution;Passes;471;342
Distribution;"Pass accuracy";75%;61%
Distribution;"Key passes";18;7
Distribution;"Successful passes in final third";119;29
Distribution;"All passes in final third";167;47
Distribution;"Successful passes in middle third";148;63
Distribution;"All passes in middle third";192;112
Distribution;"Successful passes in defensive third";85;115
Distribution;"All passes in defensive third";112;183
Distribution;"Successful long passes";37;15
Distribution;"All long passes";73;59
Distribution;"Successful medium range passes";130;104
Distribution;"All medium range passes";172;145
Distribution;"Successful short passes";185;88
Distribution;"All short passes";226;138
Distribution;"Successful forward passes";143;76
Distribution;"All forward passes";221;184
Distribution;"Successful sideways passes";119;88
Distribution;"All sideways passes";153;109
Distribution;"Successful backward passes";90;43
Distribution;"All backward passes";97;49
Distribution;"Successful crosses";9;4
Distribution;"All crosses";21;11
Distribution;"Field Tilt";78%;22%
