Category;Statistic;"FCB ESCOLA VARSOVIA";"POLONIA WARSZAWA"
Summary;Goals;0;1
Summary;Possessions;59%;41%
Summary;"Shots in total";5;6
Summary;Fouls;7;9
Summary;Offsides;1;0
Summary;"Free kicks";9;8
Summary;Corners;3;1
Summary;"Average player game rating";6.91;6.44
Offensive;"Shots in total";5;6
Offensive;"Shots on target";1;2
Offensive;"Shots off target";1;3
Offensive;"Shots blocked";3;1
Offensive;"Shots inside PA";2;3
Offensive;"Shots outside PA";3;3
Offensive;"Successful take ons";1;2
Offensive;"All take ons";7;5
Offensive;"Shot Conversion Rate";0%;17%
Defensive;"Successful tackles";19;9
Defensive;"All tackles";22;19
Defensive;"Aerial duels";20;20
Defensive;Interceptions;11;10
Defensive;Clearances;16;19
Defensive;Recoveries;56;52
Defensive;Blocks;10;7
Defensive;Mistakes;4;3
Defensive;"Won fouls";9;7
Defensive;"Second Ball Won";61%;39%
Distribution;"Successful passes";195;104
Distribution;Passes;260;162
Distribution;"Pass accuracy";75%;64%
Distribution;"Key passes";3;4
Distribution;"Successful passes in final third";47;17
Distribution;"All passes in final third";67;34
Distribution;"Successful passes in middle third";72;46
Distribution;"All passes in middle third";92;79
Distribution;"Successful passes in defensive third";76;41
Distribution;"All passes in defensive third";101;49
Distribution;"Successful long passes";23;6
Distribution;"All long passes";45;19
Distribution;"Successful medium range passes";101;52
Distribution;"All medium range passes";121;74
Distribution;"Successful short passes";71;46
Distribution;"All short passes";94;69
Distribution;"Successful forward passes";66;48
Distribution;"All forward passes";110;87
Distribution;"Successful sideways passes";71;39
Distribution;"All sideways passes";84;54
Distribution;"Successful backward passes";58;17
Distribution;"All backward passes";66;21
Distribution;"Successful crosses";3;4
Distribution;"All crosses";11;11
Distribution;"Field Tilt";66%;34%
