Category;Statistic;"AKS SMS LODZ";"MKS POLONIA WARSZAWA"
Summary;Goals;1;1
Summary;Possessions;48%;52%
Summary;"Shots in total";17;15
Summary;Fouls;10;13
Summary;Offsides;2;0
Summary;"Free kicks";13;12
Summary;Corners;11;7
Summary;"Average player game rating";6.5;5.93
Offensive;"Shots in total";17;15
Offensive;"Shots on target";3;3
Offensive;"Shots off target";7;4
Offensive;"Shots blocked";7;8
Offensive;"Shots inside PA";10;9
Offensive;"Shots outside PA";7;6
Offensive;"Successful take ons";7;15
Offensive;"All take ons";10;15
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";11;15
Defensive;"All tackles";26;22
Defensive;"Aerial duels";17;17
Defensive;Interceptions;9;18
Defensive;Clearances;34;47
Defensive;Recoveries;108;104
Defensive;Blocks;9;7
Defensive;Mistakes;0;0
Defensive;"Won fouls";13;10
Defensive;"Second Ball Won";57%;43%
Distribution;"Successful passes";208;238
Distribution;Passes;328;346
Distribution;"Pass accuracy";63%;69%
Distribution;"Key passes";10;13
Distribution;"Successful passes in final third";55;43
Distribution;"All passes in final third";112;72
Distribution;"Successful passes in middle third";80;95
Distribution;"All passes in middle third";106;125
Distribution;"Successful passes in defensive third";73;100
Distribution;"All passes in defensive third";109;148
Distribution;"Successful long passes";32;31
Distribution;"All long passes";79;76
Distribution;"Successful medium range passes";98;106
Distribution;"All medium range passes";138;136
Distribution;"Successful short passes";78;101
Distribution;"All short passes";110;133
Distribution;"Successful forward passes";96;103
Distribution;"All forward passes";164;174
Distribution;"Successful sideways passes";66;94
Distribution;"All sideways passes";108;125
Distribution;"Successful backward passes";46;41
Distribution;"All backward passes";55;46
Distribution;"Successful crosses";6;7
Distribution;"All crosses";32;21
Distribution;"Field Tilt";61%;39%
