Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.7;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;9;0;0;0;25;31;81;0;0;0;0;1;25;30;3;8;5;5;17;18;6;11;19;20;0;0;0;0;0;0;1;2;3;2;2
"POLONIA WARSZAWA";9;"Bartosz JAWORSKI";CF;6;61;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;0;0;6;0;0;1;2;0;1;1;9;11;82;0;4;6;5;5;0;0;0;0;3;3;6;8;0;1;5;6;4;4;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Kacper ZIOLKOWSKI";CM;6.6;82;0;0;0;0;5;4;2;0;2;0;0;0;3;2;3;2;1;5;0%;1;3;0;0;3;9;0;10;2;2;3;16;27;59;1;8;18;8;9;0;0;1;3;5;7;10;17;5;11;4;7;7;9;1;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Pawel KAZALA";CM;6.9;78;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0%;5;6;2;3;7;8;3;11;0;2;2;13;23;57;2;4;7;8;14;1;2;0;2;7;11;6;10;7;13;5;8;1;2;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Filip KOLODZIEJSKI";RW;6.9;84;0;0;0;0;4;1;1;0;3;0;0;2;1;1;2;2;0;0;0%;2;3;0;1;3;4;1;13;1;0;3;13;25;52;1;8;17;4;6;1;2;0;2;6;7;7;16;5;13;3;6;5;6;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";RB;6.4;92;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;2;0%;2;3;0;1;3;6;3;7;0;2;0;27;41;66;2;3;5;14;24;10;12;3;8;19;24;5;9;12;25;7;8;8;8;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Pawel TYSZKO";LW;6.9;92;0;0;0;0;4;0;1;0;1;1;0;1;1;2;3;1;2;7;0%;3;4;0;4;6;12;0;8;2;3;4;13;26;50;0;4;14;7;10;2;2;0;1;4;6;9;19;2;8;4;9;7;9;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;7.4;92;1;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;100%;0;0;0;0;0;0;2;9;1;0;1;36;50;72;1;7;15;19;20;10;15;3;5;9;15;24;30;15;22;10;16;11;12;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;7.4;92;0;0;0;0;3;3;0;0;1;0;0;1;0;2;0;3;4;6;0%;0;1;1;1;4;8;2;14;1;1;1;43;54;80;0;0;2;19;22;24;30;8;13;20;23;15;18;14;21;24;28;5;5;0;0;0;0;0;7;9;0;0
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;6.4;92;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;2;3;0;1;5;6;1;2;2;0;1;25;41;61;0;0;0;10;16;15;25;7;19;13;16;5;6;11;27;11;11;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;7.8;92;1;0;0;0;2;7;0;0;3;0;0;1;0;1;1;1;0;0;50%;1;2;0;1;1;2;3;16;2;2;5;39;46;85;0;7;9;29;32;3;5;4;5;14;16;21;25;14;21;9;9;16;16;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";15;"Filip GARCZYNSKI";LW;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;4;0;0;0;2;7;29;0;0;2;2;5;0;0;1;2;0;1;1;4;0;4;2;3;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";25;"Filip KEPSKI";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";17;"Filip PIETRZAK";RB;6.1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;1;0;0;0;7;8;88;0;2;3;2;2;3;3;0;0;3;4;4;4;4;5;1;1;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";18;"Jakub SZIDEL";RW;6.2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0%;1;1;0;0;1;2;0;1;0;0;0;2;2;100;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Marcel DZIEWA";CF;6.5;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;2;2;1;1;2;2;0;2;0;1;1;7;9;78;2;5;5;2;4;0;0;0;0;1;2;6;7;0;2;4;4;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Milan JAWOR";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
