Category;Statistic;"WISLA KRAKOW";"POLONIA WARSZAWA"
Summary;Goals;0;3
Summary;Possessions;57%;43%
Summary;"Shots in total";13;11
Summary;Fouls;7;4
Summary;Offsides;0;2
Summary;"Free kicks";4;6
Summary;Corners;1;4
Summary;"Average player game rating";6.62;7.33
Offensive;"Shots in total";13;11
Offensive;"Shots on target";3;5
Offensive;"Shots off target";6;4
Offensive;"Shots blocked";4;2
Offensive;"Shots inside PA";4;8
Offensive;"Shots outside PA";9;3
Offensive;"Successful take ons";2;1
Offensive;"All take ons";8;4
Offensive;"Shot Conversion Rate";0%;27%
Defensive;"Successful tackles";8;13
Defensive;"All tackles";15;18
Defensive;"Aerial duels";13;13
Defensive;Interceptions;4;13
Defensive;Clearances;5;6
Defensive;Recoveries;51;50
Defensive;Blocks;9;9
Defensive;Mistakes;1;5
Defensive;"Won fouls";4;7
Defensive;"Second Ball Won";42%;58%
Distribution;"Successful passes";207;121
Distribution;Passes;263;184
Distribution;"Pass accuracy";79%;66%
Distribution;"Key passes";10;7
Distribution;"Successful passes in final third";59;17
Distribution;"All passes in final third";84;32
Distribution;"Successful passes in middle third";86;53
Distribution;"All passes in middle third";101;66
Distribution;"Successful passes in defensive third";62;51
Distribution;"All passes in defensive third";78;86
Distribution;"Successful long passes";12;20
Distribution;"All long passes";32;43
Distribution;"Successful medium range passes";94;43
Distribution;"All medium range passes";108;58
Distribution;"Successful short passes";101;58
Distribution;"All short passes";123;83
Distribution;"Successful forward passes";64;40
Distribution;"All forward passes";107;87
Distribution;"Successful sideways passes";90;57
Distribution;"All sideways passes";101;67
Distribution;"Successful backward passes";53;24
Distribution;"All backward passes";55;30
Distribution;"Successful crosses";3;3
Distribution;"All crosses";10;6
Distribution;"Field Tilt";72%;28%
