Category;Statistic;"STOMIL OLSZTYN SA";"POLONIA WARSZAWA"
Summary;Goals;2;0
Summary;Possessions;38%;62%
Summary;"Shots in total";9;14
Summary;Fouls;6;6
Summary;Offsides;0;1
Summary;"Free kicks";7;4
Summary;Corners;4;2
Summary;"Average player game rating";7.04;7.85
Offensive;"Shots in total";9;14
Offensive;"Shots on target";4;6
Offensive;"Shots off target";3;5
Offensive;"Shots blocked";2;3
Offensive;"Shots inside PA";6;9
Offensive;"Shots outside PA";3;5
Offensive;"Successful take ons";10;13
Offensive;"All take ons";17;20
Offensive;"Shot Conversion Rate";22%;0%
Defensive;"Successful tackles";10;6
Defensive;"All tackles";14;10
Defensive;"Aerial duels";25;25
Defensive;Interceptions;5;7
Defensive;Clearances;18;6
Defensive;Recoveries;55;76
Defensive;Blocks;12;9
Defensive;Mistakes;7;12
Defensive;"Won fouls";6;6
Defensive;"Second Ball Won";39%;61%
Distribution;"Successful passes";65;182
Distribution;Passes;128;257
Distribution;"Pass accuracy";51%;71%
Distribution;"Key passes";6;11
Distribution;"Successful passes in final third";10;65
Distribution;"All passes in final third";23;99
Distribution;"Successful passes in middle third";30;63
Distribution;"All passes in middle third";48;88
Distribution;"Successful passes in defensive third";25;54
Distribution;"All passes in defensive third";57;70
Distribution;"Successful long passes";15;14
Distribution;"All long passes";42;37
Distribution;"Successful medium range passes";24;67
Distribution;"All medium range passes";39;85
Distribution;"Successful short passes";26;100
Distribution;"All short passes";46;134
Distribution;"Successful forward passes";31;73
Distribution;"All forward passes";79;118
Distribution;"Successful sideways passes";21;66
Distribution;"All sideways passes";34;96
Distribution;"Successful backward passes";13;42
Distribution;"All backward passes";14;42
Distribution;"Successful crosses";3;3
Distribution;"All crosses";11;17
Distribution;"Field Tilt";19%;81%
