Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";RB;7;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;2;2;0;0;2;2;6;4;0;0;0;15;21;71;0;0;1;7;10;8;10;5;9;3;4;7;8;10;15;2;3;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Daniel LESNIEWSKI";CB;8;80;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0%;0;0;3;4;1;1;14;4;2;0;0;9;16;56;0;4;9;3;4;2;3;0;4;6;8;3;4;5;6;3;9;1;1;2;6;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CAM;7.6;94;0;0;0;0;2;0;5;0;0;0;0;0;1;1;1;1;0;0;0%;1;1;1;1;1;1;4;12;0;0;0;29;38;76;4;10;17;15;15;4;6;9;14;6;8;14;16;19;24;5;9;5;5;3;7;0;0;0;0;0;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";DM;7.1;94;0;0;0;0;4;0;0;0;0;0;0;0;4;0;2;2;0;0;0%;1;2;1;1;1;2;10;5;0;0;0;16;21;76;0;4;7;5;6;7;8;6;6;3;6;7;9;9;10;5;9;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Filip GARCZYNSKI";LW;7.4;66;0;0;0;0;3;0;0;0;2;0;0;0;1;2;2;1;0;0;0%;0;0;0;0;0;0;1;7;0;0;0;9;15;60;1;6;10;1;2;2;3;1;2;3;7;5;6;5;7;4;8;0;0;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;7.7;94;0;0;0;0;3;1;0;0;1;0;0;0;2;1;2;1;0;0;0%;0;0;1;2;0;0;6;4;0;0;0;21;26;81;0;3;5;9;11;9;10;7;9;5;6;9;11;9;12;10;12;2;2;1;1;0;0;0;3;3;0;0
"POLONIA WARSZAWA";16;"Oliwier ZIEBA";RW;8.3;74;1;0;0;0;3;0;1;0;1;0;0;1;1;1;3;0;0;0;33%;0;0;0;1;0;0;3;4;0;0;0;12;18;67;3;6;10;4;6;2;2;1;2;5;7;6;9;2;3;3;4;7;11;2;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maksymilian USAREK";CAM;6.2;59;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;0;1;2;0;0;2;4;0;0;1;4;5;80;0;2;3;2;2;0;0;2;2;1;2;1;1;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Marcel DZIEWA";CF;7.2;94;0;0;1;0;2;0;0;0;1;0;0;0;1;1;1;1;0;0;0%;0;1;0;1;0;1;0;1;1;0;0;5;7;71;1;2;4;3;3;0;0;2;3;2;2;1;2;2;4;2;2;1;1;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.2;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;6;0;0;0;14;16;88;0;0;0;0;0;14;16;1;3;3;3;10;10;10;12;4;4;0;0;0;0;0;0;0;0;0;0;0
