Category;Statistic;"UKS TALENT WARSZAWA";"POLONIA WARSZAWA"
Summary;Goals;0;4
Summary;Possessions;46%;54%
Summary;"Shots in total";3;6
Summary;Fouls;6;3
Summary;Offsides;1;2
Summary;"Free kicks";5;7
Summary;Corners;5;3
Summary;"Average player game rating";6.33;5.69
Offensive;"Shots in total";3;6
Offensive;"Shots on target";0;4
Offensive;"Shots off target";3;1
Offensive;"Shots blocked";0;1
Offensive;"Shots inside PA";3;3
Offensive;"Shots outside PA";0;3
Offensive;"Successful take ons";2;1
Offensive;"All take ons";7;3
Offensive;"Shot Conversion Rate";0%;67%
Defensive;"Successful tackles";7;15
Defensive;"All tackles";18;21
Defensive;"Aerial duels";11;11
Defensive;Interceptions;6;15
Defensive;Clearances;6;24
Defensive;Recoveries;58;47
Defensive;Blocks;4;9
Defensive;Mistakes;5;6
Defensive;"Won fouls";3;6
Defensive;"Second Ball Won";13%;88%
Distribution;"Successful passes";96;123
Distribution;Passes;170;187
Distribution;"Pass accuracy";56%;66%
Distribution;"Key passes";2;6
Distribution;"Successful passes in final third";28;11
Distribution;"All passes in final third";58;25
Distribution;"Successful passes in middle third";41;39
Distribution;"All passes in middle third";66;67
Distribution;"Successful passes in defensive third";27;73
Distribution;"All passes in defensive third";46;95
Distribution;"Successful long passes";16;17
Distribution;"All long passes";42;32
Distribution;"Successful medium range passes";42;44
Distribution;"All medium range passes";65;67
Distribution;"Successful short passes";37;62
Distribution;"All short passes";62;88
Distribution;"Successful forward passes";46;53
Distribution;"All forward passes";96;103
Distribution;"Successful sideways passes";25;50
Distribution;"All sideways passes";47;63
Distribution;"Successful backward passes";24;20
Distribution;"All backward passes";26;21
Distribution;"Successful crosses";1;3
Distribution;"All crosses";14;10
Distribution;"Field Tilt";70%;30%
