Category;Statistic;"POLONIA WARSZAWA";"MKS PODLASIE BIALA PODLASKA"
Summary;Goals;1;0
Summary;Possessions;52%;48%
Summary;"Shots in total";14;10
Summary;Fouls;7;7
Summary;Offsides;2;1
Summary;"Free kicks";8;9
Summary;Corners;7;1
Summary;"Average player game rating";6.82;6.47
Offensive;"Shots in total";14;10
Offensive;"Shots on target";3;3
Offensive;"Shots off target";7;3
Offensive;"Shots blocked";4;4
Offensive;"Shots inside PA";8;2
Offensive;"Shots outside PA";6;8
Offensive;"Successful take ons";11;8
Offensive;"All take ons";18;13
Offensive;"Shot Conversion Rate";7%;0%
Defensive;"Successful tackles";10;17
Defensive;"All tackles";21;47
Defensive;"Aerial duels";19;19
Defensive;Interceptions;14;11
Defensive;Clearances;12;14
Defensive;Recoveries;62;55
Defensive;Blocks;9;11
Defensive;Mistakes;6;4
Defensive;"Won fouls";7;7
Defensive;"Second Ball Won";61%;39%
Distribution;"Successful passes";132;100
Distribution;Passes;194;171
Distribution;"Pass accuracy";68%;58%
Distribution;"Key passes";9;5
Distribution;"Successful passes in final third";58;23
Distribution;"All passes in final third";83;36
Distribution;"Successful passes in middle third";51;30
Distribution;"All passes in middle third";75;53
Distribution;"Successful passes in defensive third";23;47
Distribution;"All passes in defensive third";36;82
Distribution;"Successful long passes";16;3
Distribution;"All long passes";33;25
Distribution;"Successful medium range passes";34;47
Distribution;"All medium range passes";55;72
Distribution;"Successful short passes";82;50
Distribution;"All short passes";106;74
Distribution;"Successful forward passes";60;41
Distribution;"All forward passes";102;94
Distribution;"Successful sideways passes";43;42
Distribution;"All sideways passes";60;55
Distribution;"Successful backward passes";29;17
Distribution;"All backward passes";32;22
Distribution;"Successful crosses";6;2
Distribution;"All crosses";17;9
Distribution;"Field Tilt";70%;30%
